pathway,pathway_label,database,NES_Acute_HR,NES_Acute_LR,padj_Acute_HR,padj_Acute_LR,significance,set_size
GOBP_NEGATIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,Negative Regulation Of Immune Effector Pro...,GO:BP,1.228,1.226,0.4727,0.5959,NS,14
GOBP_JNK_CASCADE,Jnk Cascade,GO:BP,0.999,1.451,0.7174,0.3599,NS,13
GOBP_POSITIVE_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS,Positive Regulation Of Lipid Biosynthetic ...,GO:BP,1.25,-1.199,0.4523,0.6063,NS,15
GOBP_MITOCHONDRIAL_TRANSLATION,Mitochondrial Translation,GO:BP,-1.544,-0.903,0.1277,0.8732,NS,38
GOBP_MULTICELLULAR_ORGANISMAL_MOVEMENT,Multicellular Organismal Movement,GO:BP,1.33,-1.113,0.35,0.674,NS,28
GOBP_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA,Release Of Cytochrome C From Mitochondria,GO:BP,-1.395,1.047,0.3213,0.7477,NS,15
GOBP_REGULATION_OF_MONONUCLEAR_CELL_MIGRATION,Regulation Of Mononuclear Cell Migration,GO:BP,1.345,1.091,0.3572,0.7168,NS,18
GOBP_NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY,NADH Dehydrogenase Complex Assembly,GO:BP,-1.595,-0.84,0.1189,0.8987,NS,25
GOBP_NEGATIVE_REGULATION_OF_INNATE_IMMUNE_RESPONSE,Negative Regulation Of Innate Immune Response,GO:BP,0.958,1.476,0.7504,0.3506,NS,11
GOBP_MESENCHYME_DEVELOPMENT,Mesenchyme Development,GO:BP,1.331,1.102,0.3799,0.7037,NS,17
GOBP_ORGANOPHOSPHATE_CATABOLIC_PROCESS,Organophosphate Catabolic Process,GO:BP,-1.405,-1.028,0.192,0.73740000000000006,NS,63
GOBP_RECEPTOR_MEDIATED_ENDOCYTOSIS,Receptor Mediated Endocytosis,GO:BP,0.748,1.685,0.9647,0.1115,NS,37
GOBP_POSITIVE_REGULATION_OF_TOR_SIGNALING,Positive Regulation Of Tor Signaling,GO:BP,1.609,-0.823,0.1469,0.8886,NS,12
GOBP_REGULATION_OF_ACTIN_FILAMENT_BASED_PROCESS,Regulation Of Actin Filament Based Process,GO:BP,1.123,1.308,0.5296,0.4062,NS,63
GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION,Regulation Of Cell Cycle Phase Transition,GO:BP,1.505,0.924,0.1628,0.8427,NS,33
GOBP_CELL_REDOX_HOMEOSTASIS,Cell Redox Homeostasis,GO:BP,0.907,1.521,0.8041,0.2876,NS,20
GOBP_PIGMENT_METABOLIC_PROCESS,Pigment Metabolic Process,GO:BP,-1.06,1.366,0.6637,0.4648,NS,14
GOBP_PLATELET_ACTIVATION,Platelet Activation,GO:BP,1.18,1.244,0.5068,0.5599,NS,23
GOBP_REGULATION_OF_NEURON_APOPTOTIC_PROCESS,Regulation Of Neuron Apoptotic Process,GO:BP,1.099,1.325,0.6018,0.4738,NS,26
GOBP_REGULATION_OF_REPRODUCTIVE_PROCESS,Regulation Of Reproductive Process,GO:BP,0.99,1.431,0.7262,0.3917,NS,14
GOBP_REGULATION_OF_MUSCLE_ORGAN_DEVELOPMENT,Regulation Of Muscle Organ Development,GO:BP,-1.172,1.248,0.5503,0.5868,NS,10
GOBP_REGULATION_OF_STRIATED_MUSCLE_CONTRACTION,Regulation Of Striated Muscle Contraction,GO:BP,1.709,-0.711,0.06347,0.9754,NS,33
GOBP_INTRACELLULAR_RECEPTOR_SIGNALING_PATHWAY,Intracellular Receptor Signaling Pathway,GO:BP,1.192,1.225,0.445,0.5226,NS,55
GOBP_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS,Cellular Component Assembly Involved In Mo...,GO:BP,1.535,0.881,0.1189,0.8781,NS,46
GOBP_SYNAPTIC_VESICLE_RECYCLING,Synaptic Vesicle Recycling,GO:BP,1.242,1.174,0.4414,0.6424,NS,22
GOBP_PEPTIDYL_LYSINE_MODIFICATION,Peptidyl Lysine Modification,GO:BP,-0.949,-1.466,0.7599,0.3588,NS,13
GOBP_REACTIVE_NITROGEN_SPECIES_METABOLIC_PROCESS,Reactive Nitrogen Species Metabolic Process,GO:BP,1.236,1.176,0.4483,0.6394,NS,21
GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION,Regulation Of Mitotic Cell Cycle Phase Tra...,GO:BP,1.523,-0.889,0.1694,0.8732,NS,27
GOBP_REPRODUCTIVE_SYSTEM_DEVELOPMENT,Reproductive System Development,GO:BP,0.933,1.479,0.7802,0.3082,NS,26
GOBP_LYMPHOCYTE_DIFFERENTIATION,Lymphocyte Differentiation,GO:BP,0.95,1.46,0.7676,0.3468,NS,22
GOBP_NEUROMUSCULAR_PROCESS,Neuromuscular Process,GO:BP,1.2,-1.209,0.4703,0.5436,NS,34
GOBP_REGULATION_OF_MICROTUBULE_CYTOSKELETON_ORGANIZATION,Regulation Of Microtubule Cytoskeleton Org...,GO:BP,1.56,-0.845,0.1189,0.8988,NS,35
GOBP_RESPONSE_TO_UV,Response To Uv,GO:BP,1.372,1.032,0.3153,0.7484,NS,24
GOBP_MUSCLE_ORGAN_MORPHOGENESIS,Muscle Organ Morphogenesis,GO:BP,0.895,1.508,0.812,0.3192,NS,13
GOBP_PROTEIN_DEPHOSPHORYLATION,Protein Dephosphorylation,GO:BP,-1.106,-1.295,0.5972,0.4906,NS,18
GOBP_SENSORY_PERCEPTION_OF_MECHANICAL_STIMULUS,Sensory Perception Of Mechanical Stimulus,GO:BP,-1.581,-0.82,0.1502,0.9,NS,18
GOBP_SENSORY_ORGAN_MORPHOGENESIS,Sensory Organ Morphogenesis,GO:BP,1.087,1.312,0.6237,0.5046,NS,14
HALLMARK_SPERMATOGENESIS,Spermatogenesis,Hallmark,-0.807,1.589,0.8929,0.2203,NS,10
GOBP_MESENCHYMAL_CELL_DIFFERENTIATION,Mesenchymal Cell Differentiation,GO:BP,1.296,1.098,0.4116,0.7052,NS,16
GOBP_POSITIVE_REGULATION_OF_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION,Positive Regulation Of Canonical Nf Kappab...,GO:BP,1.021,1.373,0.6882,0.381,NS,33
GOBP_POSITIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY,Positive Regulation Of Canonical Wnt Signa...,GO:BP,1.14,-1.254,0.5707,0.5599,NS,12
GOBP_POSITIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS,Positive Regulation Of Phosphorus Metaboli...,GO:BP,1.289,1.105,0.3552,0.6869,NS,43
GOBP_LIPID_LOCALIZATION,Lipid Localization,GO:BP,-0.91,1.481,0.8429,0.2203,NS,62
GOBP_RESPONSE_TO_MECHANICAL_STIMULUS,Response To Mechanical Stimulus,GO:BP,-0.965,1.426,0.7504,0.381,NS,21
GOBP_REGULATION_OF_BLOOD_PRESSURE,Regulation Of Blood Pressure,GO:BP,0.946,1.441,0.7689,0.3516,NS,23
GOBP_DE_NOVO_POST_TRANSLATIONAL_PROTEIN_FOLDING,De Novo Post Translational Protein Folding,GO:BP,1.386,1,0.3416,0.7763,NS,14
GOBP_POSITIVE_REGULATION_OF_MRNA_CATABOLIC_PROCESS,Positive Regulation Of Mrna Catabolic Process,GO:BP,1.336,1.05,0.3871,0.7477,NS,13
GOBP_REGULATION_OF_BLOOD_CIRCULATION,Regulation Of Blood Circulation,GO:BP,1.576,-0.81,0.08446,0.9427,NS,53
GOBP_CARDIAC_CHAMBER_DEVELOPMENT,Cardiac Chamber Development,GO:BP,1.447,0.938,0.2784,0.8275,NS,16
GOBP_GLUCOSE_6_PHOSPHATE_METABOLIC_PROCESS,Glucose 6 Phosphate Metabolic Process,GO:BP,0.88,1.505,0.8345,0.3267,NS,11
GOBP_NEGATIVE_REGULATION_OF_SECRETION,Negative Regulation Of Secretion,GO:BP,-0.806,1.579,0.9006,0.225,NS,20
GOBP_VESICLE_MEDIATED_TRANSPORT_BETWEEN_ENDOSOMAL_COMPARTMENTS,Vesicle Mediated Transport Between Endosom...,GO:BP,1.291,-1.093,0.4274,0.7125,NS,12
GOBP_POSITIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION,Positive Regulation Of Tumor Necrosis Fact...,GO:BP,1.242,1.141,0.4688,0.6827,NS,11
GOBP_AMP_BIOSYNTHETIC_PROCESS,Amp Biosynthetic Process,GO:BP,-0.97,1.411,0.7435,0.4121,NS,10
GOBP_REGULATION_OF_AUTOPHAGY,Regulation Of Autophagy,GO:BP,0.742,-1.638,0.9804,0.09114,NS,74
GOBP_NEURON_PROJECTION_GUIDANCE,Neuron Projection Guidance,GO:BP,-1.126,-1.253,0.5839,0.5649,NS,13
GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,Adenylate Cyclase Activating G Protein Cou...,GO:BP,1.389,-0.987,0.3564,0.7798,NS,10
GOBP_CHAPERONE_MEDIATED_PROTEIN_COMPLEX_ASSEMBLY,Chaperone Mediated Protein Complex Assembly,GO:BP,1.182,1.192,0.5328,0.6458,NS,11
GOBP_MITOTIC_CELL_CYCLE_PHASE_TRANSITION,Mitotic Cell Cycle Phase Transition,GO:BP,1.606,-0.767,0.08005,0.9635,NS,46
GOBP_RETROGRADE_VESICLE_MEDIATED_TRANSPORT_GOLGI_TO_ENDOPLASMIC_RETICULUM,Retrograde Vesicle Mediated Transport Golg...,GO:BP,1.012,-1.361,0.7079,0.4679,NS,12
GOBP_ALCOHOL_CATABOLIC_PROCESS,Alcohol Catabolic Process,GO:BP,1.044,1.328,0.6766,0.4992,NS,10
GOBP_CELLULAR_RESPONSE_TO_METAL_ION,Cellular Response To Metal Ion,GO:BP,0.796,1.575,0.9283,0.1911,NS,36
GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY,Cell Surface Receptor Protein Serine Threo...,GO:BP,1.382,-0.988,0.2666,0.7798,NS,37
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT,Actin Filament Based Movement,GO:BP,1.338,1.031,0.3076,0.7484,NS,42
GOBP_LONG_CHAIN_FATTY_ACID_TRANSPORT,Long Chain Fatty Acid Transport,GO:BP,-1.284,1.085,0.4116,0.7186,NS,18
GOBP_REGULATION_OF_HEART_RATE,Regulation Of Heart Rate,GO:BP,1.269,-1.099,0.4147,0.6904,NS,22
GOBP_RESPONSE_TO_CAMP,Response To Camp,GO:BP,-1.615,0.751,0.1391,0.9252,NS,13
GOBP_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_PROLIFERATION,Vascular Associated Smooth Muscle Cell Pro...,GO:BP,-1.273,1.093,0.4431,0.7196,NS,10
GOBP_POSITIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR,Positive Regulation Of Double Strand Break...,GO:BP,1.63,0.734,0.1401,0.9327,NS,11
GOBP_PROTEIN_LOCALIZATION_TO_NUCLEUS,Protein Localization To Nucleus,GO:BP,1.126,1.238,0.524,0.4979,NS,63
HALLMARK_BILE_ACID_METABOLISM,Bile Acid Metabolism,Hallmark,-0.998,1.366,0.7174,0.4537,NS,21
GOBP_REGULATION_OF_PROTEIN_DEPOLYMERIZATION,Regulation Of Protein Depolymerization,GO:BP,0.726,1.636,0.956,0.1911,NS,22
GOBP_FORMATION_OF_PRIMARY_GERM_LAYER,Formation Of Primary Germ Layer,GO:BP,1.396,-0.965,0.3382,0.8001,NS,12
GOBP_TYPE_I_INTERFERON_PRODUCTION,Type I Interferon Production,GO:BP,1.302,1.059,0.403,0.7421,NS,18
GOBP_AMIDE_TRANSPORT,Amide Transport,GO:BP,1.005,1.355,0.7094,0.4062,NS,38
GOBP_REGULATION_OF_POTASSIUM_ION_TRANSPORT,Regulation Of Potassium Ion Transport,GO:BP,1.381,-0.979,0.3346,0.7847,NS,16
GOBP_FATTY_ACID_TRANSPORT,Fatty Acid Transport,GO:BP,-1.414,0.945,0.2785,0.8188,NS,21
GOBP_EAR_DEVELOPMENT,Ear Development,GO:BP,1.272,1.08,0.4454,0.7326,NS,10
GOBP_CELLULAR_RESPONSE_TO_STEROID_HORMONE_STIMULUS,Cellular Response To Steroid Hormone Stimulus,GO:BP,1.235,1.116,0.4246,0.6779,NS,37
GOBP_REACTIVE_OXYGEN_SPECIES_BIOSYNTHETIC_PROCESS,Reactive Oxygen Species Biosynthetic Process,GO:BP,-1.088,1.263,0.6262,0.5706,NS,11
GOBP_RESPONSE_TO_RADIATION,Response To Radiation,GO:BP,0.981,1.37,0.7435,0.3468,NS,57
GOBP_IMMUNE_SYSTEM_DEVELOPMENT,Immune System Development,GO:BP,1.192,1.157,0.5095,0.6617,NS,14
GOBP_NUCLEOSIDE_PHOSPHATE_CATABOLIC_PROCESS,Nucleoside Phosphate Catabolic Process,GO:BP,-1.285,-1.064,0.3346,0.6996,NS,58
GOBP_MEMBRANE_PROTEIN_PROTEOLYSIS,Membrane Protein Proteolysis,GO:BP,-1.008,1.337,0.7169,0.4979,NS,10
GOBP_REGULATION_OF_MUSCLE_CONTRACTION,Regulation Of Muscle Contraction,GO:BP,1.266,-1.078,0.3705,0.6932,NS,49
GOBP_FIBROBLAST_MIGRATION,Fibroblast Migration,GO:BP,1.266,-1.077,0.4431,0.7168,NS,13
GOBP_MYELOID_CELL_HOMEOSTASIS,Myeloid Cell Homeostasis,GO:BP,1.531,0.812,0.17,0.9094,NS,28
GOBP_NEGATIVE_REGULATION_OF_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY,Negative Regulation Of Cytoplasmic Pattern...,GO:BP,1.076,1.266,0.6406,0.5519,NS,14
GOBP_POSITIVE_REGULATION_OF_TRANSFERASE_ACTIVITY,Positive Regulation Of Transferase Activity,GO:BP,1.226,1.116,0.4582,0.6904,NS,21
GOBP_RESPONSE_TO_METAL_ION,Response To Metal Ion,GO:BP,0.741,1.601,0.9804,0.107,NS,85
GOBP_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT,Positive Regulation Of Calcium Ion Transme...,GO:BP,-1.065,1.277,0.6556,0.5278,NS,17
GOBP_POSITIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION,Positive Regulation Of Type I Interferon P...,GO:BP,1.457,0.884,0.2868,0.8635,NS,11
GOBP_RESPONSE_TO_OSMOTIC_STRESS,Response To Osmotic Stress,GO:BP,-1.275,1.066,0.4116,0.7329,NS,19
GOBP_GLAND_DEVELOPMENT,Gland Development,GO:BP,-1.119,-1.221,0.5594,0.505,NS,44
GOBP_MYOFIBRIL_ASSEMBLY,Myofibril Assembly,GO:BP,1.44,0.899,0.2036,0.8665,NS,40
GOBP_LYMPHOCYTE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,Lymphocyte Activation Involved In Immune R...,GO:BP,1.282,1.053,0.4233,0.7433,NS,16
GOBP_INTRACELLULAR_IRON_ION_HOMEOSTASIS,Intracellular Iron Ion Homeostasis,GO:BP,1.225,1.107,0.4688,0.7007,NS,18
GOBP_INSULIN_SECRETION_INVOLVED_IN_CELLULAR_RESPONSE_TO_GLUCOSE_STIMULUS,Insulin Secretion Involved In Cellular Res...,GO:BP,1.076,-1.254,0.6555,0.5599,NS,10
GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT,In Utero Embryonic Development,GO:BP,1.12,-1.21,0.5616,0.5226,NS,40
GOBP_RIBONUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS,Ribonucleoside Monophosphate Metabolic Pro...,GO:BP,-0.686,1.644,0.9792,0.174,NS,23
GOBP_MUSCLE_CELL_MIGRATION,Muscle Cell Migration,GO:BP,1.451,0.878,0.3067,0.8665,NS,10
GOBP_POSITIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE,Positive Regulation Of Erk1 And Erk2 Cascade,GO:BP,0.822,1.504,0.8866,0.3192,NS,16
GOBP_POSITIVE_REGULATION_OF_LIPID_TRANSPORT,Positive Regulation Of Lipid Transport,GO:BP,-1.135,1.191,0.5839,0.6458,NS,10
GOBP_CELLULAR_RESPONSE_TO_LIGHT_STIMULUS,Cellular Response To Light Stimulus,GO:BP,1.237,1.088,0.4671,0.7168,NS,15
GOBP_DNA_TEMPLATED_TRANSCRIPTION_INITIATION,DNA Templated Transcription Initiation,GO:BP,1.398,0.927,0.3346,0.8355,NS,14
GOBP_REGULATION_OF_CHOLESTEROL_METABOLIC_PROCESS,Regulation Of Cholesterol Metabolic Process,GO:BP,1.369,0.956,0.376,0.8111,NS,10
GOBP_LEUKOCYTE_HOMEOSTASIS,Leukocyte Homeostasis,GO:BP,1.202,1.122,0.5095,0.6996,NS,11
GOBP_NEGATIVE_REGULATION_OF_IMMUNE_RESPONSE,Negative Regulation Of Immune Response,GO:BP,1.023,1.301,0.6902,0.4992,NS,22
GOBP_REGULATION_OF_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION,Regulation Of Microtubule Polymerization O...,GO:BP,1.55,0.773,0.1726,0.9172,NS,19
GOBP_RESPONSE_TO_TOXIC_SUBSTANCE,Response To Toxic Substance,GO:BP,0.723,1.6,0.9804,0.1215,NS,63
GOBP_PEPTIDE_TRANSPORT,Peptide Transport,GO:BP,1.016,1.306,0.6906,0.4682,NS,36
GOBP_REGULATION_OF_NEURON_DIFFERENTIATION,Regulation Of Neuron Differentiation,GO:BP,1.615,-0.707,0.1365,0.9588,NS,16
GOBP_REGULATION_OF_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL,Regulation Of Release Of Sequestered Calci...,GO:BP,1.42,0.902,0.2784,0.8615,NS,23
GOBP_REGULATION_OF_PEPTIDE_TRANSPORT,Regulation Of Peptide Transport,GO:BP,1.025,1.296,0.6817,0.4861,NS,30
GOBP_GLYCOLYTIC_PROCESS_THROUGH_GLUCOSE_6_PHOSPHATE,Glycolytic Process Through Glucose 6 Phosp...,GO:BP,-1.426,-0.893,0.3019,0.8616,NS,13
GOBP_ORGANOPHOSPHATE_ESTER_TRANSPORT,Organophosphate Ester Transport,GO:BP,-0.938,1.379,0.7781,0.4229,NS,17
GOBP_VIRION_ASSEMBLY,Virion Assembly,GO:BP,-0.828,1.488,0.8838,0.332,NS,13
GOBP_ALPHA_AMINO_ACID_BIOSYNTHETIC_PROCESS,Alpha Amino Acid Biosynthetic Process,GO:BP,-1.586,0.729,0.1599,0.9348,NS,13
GOBP_POSITIVE_REGULATION_OF_TORC1_SIGNALING,Positive Regulation Of Torc1 Signaling,GO:BP,1.495,-0.82,0.2472,0.8886,NS,11
GOBP_TERPENOID_METABOLIC_PROCESS,Terpenoid Metabolic Process,GO:BP,1.201,1.111,0.4962,0.6996,NS,17
HALLMARK_DNA_REPAIR,DNA Repair,Hallmark,0.746,1.566,0.9485,0.219,NS,25
GOBP_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS,Ribonucleoside Monophosphate Biosynthetic ...,GO:BP,-0.833,1.477,0.8832,0.3371,NS,15
GOBP_CELLULAR_RESPONSE_TO_CORTICOSTEROID_STIMULUS,Cellular Response To Corticosteroid Stimulus,GO:BP,1.155,1.154,0.5572,0.666,NS,15
HALLMARK_MTORC1_SIGNALING,mTORC1 Signaling,Hallmark,0.855,1.454,0.9076,0.1911,NS,87
GOBP_REGULATION_OF_AXON_EXTENSION,Regulation Of Axon Extension,GO:BP,1.079,1.229,0.6386,0.5992,NS,12
GOBP_REGULATION_OF_LEUKOCYTE_PROLIFERATION,Regulation Of Leukocyte Proliferation,GO:BP,1.195,1.112,0.5041,0.6996,NS,19
GOBP_INTERFERON_BETA_PRODUCTION,Interferon Beta Production,GO:BP,1.39,0.917,0.3564,0.8377,NS,10
GOBP_MORPHOGENESIS_OF_EMBRYONIC_EPITHELIUM,Morphogenesis Of Embryonic Epithelium,GO:BP,1.348,-0.958,0.3887,0.8076,NS,10
GOBP_POSITIVE_REGULATION_OF_GLUCOSE_METABOLIC_PROCESS,Positive Regulation Of Glucose Metabolic P...,GO:BP,1.092,-1.212,0.6249,0.6106,NS,11
GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION,Positive Regulation Of Endothelial Cell Pr...,GO:BP,1.281,1.023,0.4425,0.7628,NS,10
GOBP_MITOCHONDRIAL_FISSION,Mitochondrial Fission,GO:BP,0.83,-1.473,0.8809,0.3506,NS,11
GOBP_RESPONSE_TO_STEROID_HORMONE,Response To Steroid Hormone,GO:BP,1.109,1.193,0.5594,0.5718,NS,51
GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION,Cd4 Positive Alpha Beta T Cell Activation,GO:BP,-0.94,-1.36,0.7663,0.4682,NS,10
GOBP_T_CELL_RECEPTOR_SIGNALING_PATHWAY,T Cell Receptor Signaling Pathway,GO:BP,-0.842,-1.458,0.8765,0.3612,NS,13
GOBP_NEGATIVE_REGULATION_OF_GROWTH,Negative Regulation Of Growth,GO:BP,1.26,-1.039,0.4414,0.7477,NS,19
GOBP_REGULATION_OF_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY,Regulation Of Cytoplasmic Pattern Recognit...,GO:BP,1.074,1.224,0.6376,0.5718,NS,27
GOBP_REGULATION_OF_HEART_CONTRACTION,Regulation Of Heart Contraction,GO:BP,1.57,-0.727,0.0908,0.983,NS,48
GOBP_KETONE_METABOLIC_PROCESS,Ketone Metabolic Process,GO:BP,-1.312,-0.983,0.3109,0.7888,NS,55
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Nucleobase Containing Compound Transport,GO:BP,0.992,1.303,0.7257,0.494,NS,26
GOBP_RESPONSE_TO_CADMIUM_ION,Response To Cadmium Ion,GO:BP,-0.646,1.649,0.9804,0.1911,NS,11
GOBP_MICROTUBULE_BASED_MOVEMENT,Microtubule Based Movement,GO:BP,1.376,0.918,0.2597,0.8524,NS,45
GOBP_ENDOCRINE_PROCESS,Endocrine Process,GO:BP,-0.833,1.46,0.879,0.3599,NS,10
GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,Negative Regulation Of Leukocyte Cell Cell...,GO:BP,1.254,1.039,0.4582,0.7526,NS,12
GOBP_REGULATION_OF_NUCLEOTIDE_METABOLIC_PROCESS,Regulation Of Nucleotide Metabolic Process,GO:BP,0.935,-1.358,0.7823,0.4017,NS,25
GOBP_NUCLEOSIDE_DIPHOSPHATE_CATABOLIC_PROCESS,Nucleoside Diphosphate Catabolic Process,GO:BP,-1.36,-0.932,0.2868,0.8433,NS,38
GOBP_FATTY_ACYL_COA_METABOLIC_PROCESS,Fatty Acyl Coa Metabolic Process,GO:BP,-1.493,-0.797,0.2433,0.8987,NS,11
GOBP_POSITIVE_REGULATION_OF_KINASE_ACTIVITY,Positive Regulation Of Kinase Activity,GO:BP,1.184,1.106,0.5141,0.7009,NS,18
GOBP_RENAL_SYSTEM_DEVELOPMENT,Renal System Development,GO:BP,-0.483,1.806,0.9974,0.09602,NS,22
GOBP_ERK1_AND_ERK2_CASCADE,Erk1 And Erk2 Cascade,GO:BP,0.992,1.296,0.7257,0.4775,NS,35
GOBP_FATTY_ACID_DERIVATIVE_BIOSYNTHETIC_PROCESS,Fatty Acid Derivative Biosynthetic Process,GO:BP,-1.582,-0.705,0.1694,0.9542,NS,11
GOBP_RESPONSE_TO_ANGIOTENSIN,Response To Angiotensin,GO:BP,1.475,0.811,0.2813,0.8939,NS,10
GOBP_PHOSPHOLIPID_METABOLIC_PROCESS,Phospholipid Metabolic Process,GO:BP,-1.012,-1.27,0.7024,0.4682,NS,38
GOBP_REGULATION_OF_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA,Regulation Of Release Of Cytochrome C From...,GO:BP,-1.106,1.176,0.6018,0.6484,NS,12
GOBP_PURINE_NUCLEOBASE_METABOLIC_PROCESS,Purine Nucleobase Metabolic Process,GO:BP,0.558,1.722,0.9918,0.1332,NS,10
GOBP_DETECTION_OF_ABIOTIC_STIMULUS,Detection Of Abiotic Stimulus,GO:BP,0.68,1.599,0.9656,0.2277,NS,12
GOBP_CELLULAR_RESPONSE_TO_HYDROGEN_PEROXIDE,Cellular Response To Hydrogen Peroxide,GO:BP,-0.914,1.361,0.7944,0.4689,NS,11
GOBP_POSITIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE,Positive Regulation Of Adaptive Immune Res...,GO:BP,-1.281,0.994,0.4231,0.7784,NS,15
GOBP_IMP_METABOLIC_PROCESS,Imp Metabolic Process,GO:BP,-0.826,1.448,0.8857,0.3723,NS,14
GOBP_SPINDLE_ORGANIZATION,Spindle Organization,GO:BP,1.615,-0.658,0.08092,0.9907,NS,41
GOBP_APOPTOTIC_MITOCHONDRIAL_CHANGES,Apoptotic Mitochondrial Changes,GO:BP,-1.457,0.815,0.1852,0.9104,NS,35
GOBP_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT,Regulation Of Neuron Projection Development,GO:BP,1.328,0.944,0.3115,0.827,NS,46
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION,Antigen Processing And Presentation,GO:BP,0.91,1.36,0.7996,0.457,NS,19
GOBP_LEUKOCYTE_MEDIATED_CYTOTOXICITY,Leukocyte Mediated Cytotoxicity,GO:BP,1.044,1.226,0.6677,0.5794,NS,21
GOBP_TETRAPYRROLE_BIOSYNTHETIC_PROCESS,Tetrapyrrole Biosynthetic Process,GO:BP,-1.177,1.093,0.5442,0.7196,NS,10
GOBP_PROTEIN_LOCALIZATION_TO_CELL_JUNCTION,Protein Localization To Cell Junction,GO:BP,0.798,-1.469,0.8986,0.332,NS,17
GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION,Actin Filament Depolymerization,GO:BP,0.661,1.605,0.9804,0.2165,NS,19
GOBP_MUSCLE_CELL_APOPTOTIC_PROCESS,Muscle Cell Apoptotic Process,GO:BP,1.126,-1.139,0.5726,0.6617,NS,17
GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,Adenylate Cyclase Modulating G Protein Cou...,GO:BP,1.376,-0.888,0.3386,0.8663,NS,16
GOBP_NEGATIVE_REGULATION_OF_PHOSPHORYLATION,Negative Regulation Of Phosphorylation,GO:BP,0.815,1.448,0.8959,0.3509,NS,23
GOBP_NEUROTRANSMITTER_SECRETION,Neurotransmitter Secretion,GO:BP,1.06,1.202,0.6637,0.6205,NS,13
GOBP_PROTEIN_TARGETING,Protein Targeting,GO:BP,-1.215,-1.046,0.4064,0.7168,NS,74
GOBP_NEGATIVE_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION,Negative Regulation Of Establishment Of Pr...,GO:BP,0.566,1.694,0.9928,0.1215,NS,23
GOBP_PROTEASOME_MEDIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,Proteasome Mediated Ubiquitin Dependent Pr...,GO:BP,1.202,1.057,0.3865,0.7196,NS,95
GOBP_SKELETAL_MUSCLE_CONTRACTION,Skeletal Muscle Contraction,GO:BP,1.3,-0.959,0.3781,0.8087,NS,26
GOBP_ESTABLISHMENT_OF_ORGANELLE_LOCALIZATION,Establishment Of Organelle Localization,GO:BP,1.479,0.779,0.117,0.956,NS,74
GOBP_FIBROBLAST_PROLIFERATION,Fibroblast Proliferation,GO:BP,0.986,1.272,0.7319,0.5599,NS,11
