"group","pathway","database","padj","pval","overlap","size","odds_ratio"
"purple","GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_CH_OH_GROUP_OF_DONORS","GO:MF",0.0265329388914229,0.000230315759112608,9,57,5.19230769230769
"purple","GOMF_LIGASE_ACTIVITY","GO:MF",0.0265329388914229,0.000340165883223371,10,73,4.42708333333333
"purple","HALLMARK_OXIDATIVE_PHOSPHORYLATION","Hallmark",0.0444994830561232,0.00134846918351888,14,151,2.91411192214112
"red","GOCC_CONTRACTILE_MUSCLE_FIBER","GO:CC",1.8880067998197e-34,1.06667050837271e-36,60,139,16.3819900656946
"red","REACTOME_STRIATED_MUSCLE_CONTRACTION","Reactome",2.41735701017e-27,4.34409103560294e-29,27,30,143.035714285714
"red","REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3","Reactome",2.41735701017e-27,5.88005759230539e-29,24,24,Inf
"red","GOMF_STRUCTURAL_CONSTITUENT_OF_CHROMATIN","GO:MF",2.15983375726132e-25,1.38450881875726e-27,24,25,371.895652173913
"red","REACTOME_AMYLOID_FIBER_FORMATION","Reactome",2.4079995672763e-25,9.76216040787691e-27,25,28,130.116959064327
"red","REACTOME_REPLACEMENT_OF_PROTAMINES_BY_NUCLEOSOMES_IN_THE_MALE_PRONUCLEUS","Reactome",2.50878836166082e-25,1.56320629227801e-26,22,22,Inf
"red","REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS","Reactome",2.50878836166082e-25,1.69512727139245e-26,24,26,185.84347826087
"red","REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS","Reactome",9.13775224050627e-25,6.66808947280187e-26,25,29,97.5328947368421
"red","REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE","Reactome",4.03849170309053e-24,3.38360115664341e-25,22,23,335.076923076923
"red","REACTOME_MEIOSIS","Reactome",4.22616902347441e-24,3.7692858858015e-25,25,30,77.9824561403509
"red","GOCC_NUCLEOSOME","GO:CC",5.90125918342966e-24,6.66808947280187e-26,25,29,97.5328947368421
"red","REACTOME_TELOMERE_MAINTENANCE","Reactome",1.00131405123538e-23,9.4718896738482e-25,24,28,92.8173913043478
"red","REACTOME_HATS_ACETYLATE_HISTONES","Reactome",2.03335931925739e-23,2.08831497653461e-24,23,26,117.64367816092
"red","REACTOME_HDACS_DEACETYLATE_HISTONES","Reactome",3.62511764958265e-23,3.8210699549655e-24,22,24,167.444444444444
"red","REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP","Reactome",4.78560563742721e-23,5.17362771613753e-24,24,29,74.2121739130435
"red","REACTOME_EPIGENETIC_REGULATION_BY_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES","Reactome",8.17148872587586e-22,1.01591481456835e-22,24,31,52.9490683229814
"red","REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION","Reactome",8.17148872587586e-22,1.01591481456835e-22,24,31,52.9490683229814
"red","REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING","Reactome",8.17148872587586e-22,1.01591481456835e-22,24,31,52.9490683229814
"red","REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE","Reactome",1.4429085167336e-21,1.83288379152647e-22,22,26,83.6282051282051
"red","GOMF_STRUCTURAL_CONSTITUENT_OF_MUSCLE","GO:MF",2.34788228790296e-21,3.01010549731149e-23,26,36,40.7946902654867
"red","REACTOME_MITOTIC_PROPHASE","Reactome",6.20438655219342e-21,8.04893390554822e-22,26,39,31.3274336283186
"red","REACTOME_BASE_EXCISION_REPAIR","Reactome",7.03278937409353e-21,9.31369403596171e-22,22,27,66.8649572649573
"red","REACTOME_MATERNAL_TO_ZYGOTIC_TRANSITION_MZT","Reactome",9.77699558653366e-21,1.32121561980185e-21,24,33,41.136231884058
"red","REACTOME_HCMV_LATE_EVENTS","Reactome",2.96717500094505e-20,4.0898898661675e-21,22,28,55.6894586894587
"red","REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE","Reactome",3.00972767588583e-20,4.22988754448819e-21,24,34,37.0017391304348
"red","GOBP_MUSCLE_CELL_DEVELOPMENT","GO:BP",4.10615985463736e-20,4.47294101812348e-23,35,71,16.3314636752137
"red","REACTOME_MUSCLE_CONTRACTION","Reactome",7.17208787592293e-20,1.04673714945902e-20,33,71,14.2961767626614
"red","HALLMARK_MYOGENESIS","Hallmark",1.76042117436445e-19,5.33460961928622e-21,38,95,11.3927392739274
"red","REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ","Reactome",2.25011965609291e-19,3.34477246175974e-20,20,24,74.7478991596639
"red","GOBP_MYOFIBRIL_ASSEMBLY","GO:BP",9.9464620495913e-19,2.16698519598939e-21,26,40,29.0733249051833
"red","GOMF_ACTIN_BINDING","GO:MF",1.22872786023378e-18,2.36293819275726e-20,44,134,8.71251461988304
"red","GOBP_NUCLEOSOME_ORGANIZATION","GO:BP",1.25150629904725e-18,4.0898898661675e-21,22,28,55.6894586894587
"red","REACTOME_CHROMATIN_ORGANIZATION","Reactome",2.48052670336174e-18,3.88839321067516e-19,23,35,29.2622126436782
