Gene	Uniprot	"Protein class"	"Secretome location"	"Secretome function"	"Blood concentration - Conc. blood MS [pg/L]"	"Single Cell Type RNA - Erythrocytes [nCPM]"	"Single Cell Type RNA - Myonuclei [nCPM]"
HS6ST2	Q96MM7	"Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Intracellular and membrane"	Enzyme		0.2	28.4
HS6ST3	Q8IZP7	"Metabolic proteins, Predicted intracellular proteins"			44000	0.0	97.8
HSBP1	O75506	"Predicted intracellular proteins"				3.5	3.6
HSBP1L1	C9JCN9	"Predicted intracellular proteins"				2.7	14.1
HSCB	Q8IWL3	"Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins"				0.1	27.1
HSD11B1	P28845	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted intracellular proteins"			110000	0.0	14.1
HSD11B1L	Q7Z5J1	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"	"Secreted in brain"	Enzyme		0.0	0.1
HSD11B2	P80365	"Disease related genes, Human disease related genes, Metabolic proteins, Predicted membrane proteins"				0.0	0.9
HSD17B1	P14061	"Enzymes, Metabolic proteins, Predicted intracellular proteins"			52000	0.0	0.0
HSD17B10	Q99714	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"			420000	1.9	3.4
HSD17B11	Q8NBQ5	"Enzymes, Metabolic proteins, Predicted intracellular proteins"				2.6	0.8
HSD17B12	Q53GQ0	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"			6900	3.2	14.7
HSD17B13	Q7Z5P4	"Predicted intracellular proteins"				0.5	0.1
HSD17B14	Q9BPX1	"Enzymes, Metabolic proteins, Predicted intracellular proteins"				0.0	1.1
HSD17B2	P37059	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"				0.0	0.4
HSD17B3	P37058	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"				0.0	0.1
HSD17B4	P51659	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"			620000	10.6	100.7
HSD17B6	O14756	"Enzymes, Metabolic proteins, Predicted intracellular proteins"				0.2	0.2
HSD17B7	P56937	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"				0.0	7.2
HSD17B8	Q92506	"Enzymes, Metabolic proteins, Predicted intracellular proteins"			84000	0.0	0.7
HSD3B1	P14060	"Enzymes, FDA approved drug targets, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"				0.0	0.0
HSD3B2	P26439	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"				0.0	0.0
HSD3B7	Q9H2F3	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"				0.0	1.1
HSDL1	Q3SXM5	"Predicted intracellular proteins, Predicted membrane proteins"				0.2	22.1
HSDL2	Q6YN16	"Plasma proteins, Predicted intracellular proteins"				5.2	435.0
HSF1	Q00613	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors"				0.2	0.1
HSF2	Q03933	"Plasma proteins, Predicted intracellular proteins, Transcription factors"				0.3	102.2
HSF2BP	O75031	"Disease related genes, Human disease related genes, Predicted intracellular proteins"				0.0	2.9
HSF4	Q9ULV5	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors"				0.0	44.9
HSF5	Q4G112	"Predicted intracellular proteins, Transcription factors"				0.0	1.0
HSFX1	Q9UBD0	"Predicted intracellular proteins, Transcription factors"				0.0	0.0
HSFX2	Q9UBD0	"Predicted intracellular proteins, Transcription factors"				0.0	0.0
HSFX3	A0A1B0GWH4	"Predicted intracellular proteins"				0.0	0.1
HSFX4	A0A1B0GTS1	"Predicted intracellular proteins"				0.0	0.1
HSFY1	Q96LI6	"Predicted intracellular proteins, Transcription factors"				0.0	0.0
HSFY2	Q96LI6	"Predicted intracellular proteins, Transcription factors"				0.0	0.0
HSH2D	Q96JZ2	"Predicted intracellular proteins"				1.6	0.5
HSP90AA1	P07900	"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins"			110000000	300.7	46.1
HSP90AB1	P08238	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transporters"	"Intracellular and membrane"	Other	96000000	63.9	41.2
HSP90B1	P14625	"Cancer-related genes, Essential proteins, Plasma proteins, Predicted intracellular proteins"	"Intracellular and membrane"	Enzyme	210000000	23.4	26.4
HSPA12A	O43301	"Predicted intracellular proteins"				0.2	8.1
HSPA12B	Q96MM6	"Plasma proteins, Predicted intracellular proteins"				0.0	0.1
HSPA13	P48723	"Predicted intracellular proteins"	"Intracellular and membrane"	"No annotated function"	2300000	30.2	2.5
HSPA14	Q0VDF9	"Predicted intracellular proteins"				11.8	27.8
HSPA1A	P0DMV8	"Disease related genes, Predicted intracellular proteins"	"Intracellular and membrane"	Receptor	100000000	0.3	0.0
HSPA1B	P0DMV9	"Predicted intracellular proteins"				0.0	0.0
HSPA1L	P34931	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"				0.0	0.0
HSPA2	P54652	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"			89000000	0.0	13.6
HSPA4	P34932	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"			13000000	9.5	57.7
HSPA4L	O95757	"Plasma proteins, Predicted intracellular proteins"			640000	0.0	19.3
HSPA5	P11021	"Disease related genes, Enzymes, Essential proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"	"Intracellular and membrane"	Enzyme	540000000	21.8	20.4
HSPA6	P17066	"Plasma proteins, Predicted intracellular proteins"			49000000	0.0	0.0
HSPA8	P11142	"Cancer-related genes, Enzymes, Essential proteins, Plasma proteins, Predicted intracellular proteins"			210000000	51.2	22.4
HSPA9	P38646	"Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins"			4100000	6.8	89.6
HSPB1	P04792	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"			25000000	7.0	77.5
HSPB11	Q9Y547	"Predicted intracellular proteins"			110000	4.7	26.2
HSPB2	Q16082	"Predicted intracellular proteins"				0.0	0.0
HSPB3	Q12988	"Disease related genes, Human disease related genes, Predicted intracellular proteins"				0.0	20.3
HSPB6	O14558	"Predicted intracellular proteins"	"Intracellular and membrane"	Other	380000	0.0	27.6
HSPB7	Q9UBY9	"Predicted intracellular proteins"			50000	0.0	231.9
HSPB8	Q9UJY1	"Disease related genes, Human disease related genes, Predicted intracellular proteins"				0.0	244.4
HSPB9	Q9BQS6	"Predicted intracellular proteins"				0.0	0.0
HSPBAP1	Q96EW2	"Disease related genes, Predicted intracellular proteins"				3.1	151.2
HSPBP1	Q9NZL4	"Predicted intracellular proteins"			11000	1.7	7.9
HSPD1	P10809	"Cancer-related genes, Disease related genes, Enzymes, Essential proteins, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"			66000000	18.9	71.8
HSPE1	P61604	"Cancer-related genes, Essential proteins, Plasma proteins, Predicted intracellular proteins"			2000000	14.0	3.8
HSPE1-MOB4		"Predicted intracellular proteins"				0.3	4.5
HSPG2	P98160	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Secreted to extracellular matrix"	"Developmental protein"	470000000	0.5	32.0
HSPH1	Q92598	"Cancer-related genes, Predicted intracellular proteins"			1000000	24.6	14.6
HTATIP2	Q9BUP3	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"				0.8	5.0
HTATSF1	O43719	"Essential proteins, Predicted intracellular proteins"			3500	4.7	8.5
HTD2	P86397	"Enzymes, Predicted intracellular proteins"				0.0	0.0
HTN1	P15515	"Predicted secreted proteins, Transporters"	"Secreted to digestive system"	Defense		0.0	0.0
HTN3	P15516	"Predicted secreted proteins, Transporters"	"Secreted to digestive system"	Immunity		0.0	0.0
HTR1A	P08908	"Disease related genes, FDA approved drug targets, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.0	0.0
HTR1B	P28222	"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters"				0.0	0.0
HTR1D	P28221	"FDA approved drug targets, G-protein coupled receptors, Human disease related genes, Predicted membrane proteins"				0.0	0.1
HTR1E	P28566	"FDA approved drug targets, G-protein coupled receptors, Plasma proteins, Predicted membrane proteins"				0.2	0.2
HTR1F	P30939	"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins"				0.8	0.7
HTR2A	P28223	"FDA approved drug targets, G-protein coupled receptors, Human disease related genes, Predicted membrane proteins, Transporters"				0.2	2.0
HTR2B	P41595	"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters"				0.0	38.8
HTR2C	P28335	"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins"				0.0	0.6
HTR3A	P46098	"FDA approved drug targets, Predicted membrane proteins, Transporters"				0.0	0.0
HTR3B	O95264	"FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.0	0.1
HTR3C	Q8WXA8	"FDA approved drug targets, Predicted membrane proteins"				0.0	0.0
HTR3D	Q70Z44	"FDA approved drug targets, Predicted membrane proteins, Transporters"				0.0	0.0
HTR3E	A5X5Y0	"FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins"				0.0	1.6
HTR4	Q13639	"FDA approved drug targets, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.0	6.0
HTR5A	P47898	"G-protein coupled receptors, Predicted membrane proteins"				0.0	0.0
HTR6	P50406	"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins"				0.0	0.1
HTR7	P34969	"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, RAS pathway related proteins"				0.1	3.4
HTRA1	Q92743	"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"	"Secreted to blood"	Enzyme	4200000	0.2	2.9
HTRA2	O43464	"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins"			180000	30.3	4.4
HTRA3	P83110	"Enzymes, Predicted secreted proteins"	"Secreted in other tissues"	Enzyme		0.0	0.5
HTRA4	P83105	"Enzymes, Predicted secreted proteins"	"Secreted in female reproductive system"	Enzyme	11000	0.0	1.7
HTT	P42858	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"			470000	2.5	184.2
HUNK	P57058	"Enzymes, Predicted intracellular proteins"				0.0	0.8
HUS1	O60921	"Predicted intracellular proteins"				3.1	15.7
HUS1B	Q8NHY5	"Predicted intracellular proteins"				0.0	0.0
HUWE1	Q7Z6Z7	"Cancer-related genes, Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"			130000	22.9	186.9
HVCN1	Q96D96	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.4	19.3
HYAL1	Q12794	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"	"Secreted to blood"	Enzyme	1600000	0.0	9.6
HYAL2	Q12891	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"				0.2	2.0
HYAL3	O43820	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Secreted to blood"	Enzyme		1.7	0.2
HYAL4	Q2M3T9	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"				0.0	97.5
HYCC1	Q9BYI3	"Disease related genes, Human disease related genes, Predicted intracellular proteins"				3.5	123.2
HYCC2	Q8IXS8	"Predicted intracellular proteins"				7.7	187.0
HYDIN	Q4G0P3	"Disease related genes, Human disease related genes, Predicted intracellular proteins"				0.0	0.9
HYI	Q5T013	"Enzymes, Metabolic proteins, Predicted intracellular proteins"				0.3	5.4
HYKK	A2RU49	"Enzymes, Metabolic proteins, Predicted intracellular proteins"				0.0	7.4
HYLS1	Q96M11	"Disease related genes, Human disease related genes, Predicted intracellular proteins"				3.1	7.5
HYOU1	Q9Y4L1	"Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"	"Intracellular and membrane"	Other	59000000	0.5	0.5
HYPK	Q9NX55	"Essential proteins, Predicted intracellular proteins"			15000	0.0	0.1
IAH1	Q2TAA2	"Predicted intracellular proteins"			120000	0.3	45.3
IAPP	P10997	"Predicted intracellular proteins, Predicted secreted proteins"	"Secreted to blood"	Hormone		0.0	0.1
IARS1	P41252	"Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"			150000	10.8	96.0
IARS2	Q9NSE4	"Disease related genes, Enzymes, Essential proteins, Human disease related genes, Potential drug targets, Predicted intracellular proteins"			88000	0.2	49.0
IBA57	Q5T440	"Disease related genes, Human disease related genes, Predicted intracellular proteins"				11.3	8.3
IBSP	P21815	"Cancer-related genes, Predicted secreted proteins"	"Secreted in other tissues"	"Cell adhesion"		0.0	0.0
IBTK	Q9P2D0	"Predicted intracellular proteins"				0.3	4.6
ICA1	Q05084	"Predicted intracellular proteins, Predicted membrane proteins"				1.5	1.2
ICA1L	Q8NDH6	"Predicted intracellular proteins"				3.1	98.0
ICAM1	P05362	"Cancer-related genes, Candidate cardiovascular disease genes, CD markers, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"			240000000	1.9	1.5
ICAM2	P13598	"CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"			120000000	0.4	0.3
ICAM3	P32942	"CD markers, Plasma proteins, Predicted membrane proteins"			14000000	5.5	0.7
ICAM4	Q14773	"Blood group antigen proteins, CD markers, Predicted intracellular proteins, Predicted membrane proteins"	"Intracellular and membrane"	"Cell adhesion"		5.9	0.0
ICAM5	Q9UMF0	"Plasma proteins, Predicted membrane proteins"			160000	0.3	0.0
ICE1	Q9Y2F5	"Essential proteins, Predicted intracellular proteins"				2.8	80.9
ICE2	Q659A1	"Predicted intracellular proteins"				5.2	266.3
ICMT	O60725	"Enzymes, Metabolic proteins, Plasma proteins, Predicted membrane proteins"				3.2	9.9
ICOS	Q9Y6W8	"CD markers, Disease related genes, Human disease related genes, Predicted membrane proteins"	"Intracellular and membrane"	"No annotated function"		0.2	0.0
ICOSLG	O75144	"CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"			32000000	0.0	0.0
ID1	P41134	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors"				7.6	0.9
ID2	Q02363	"Cancer-related genes, Predicted intracellular proteins, Transcription factors"				19.4	3.4
ID3	Q02535	"Cancer-related genes, Predicted intracellular proteins, Transcription factors"				0.0	0.0
ID4	P47928	"Predicted intracellular proteins, Transcription factors"				0.0	1.8
IDE	P14735	"Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Secreted in other tissues"	Receptor	330000	9.4	141.4
IDH1	O75874	"Cancer-related genes, Citric acid cycle related proteins, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"			21000000	3.1	26.6
IDH2	P48735	"Cancer-related genes, Citric acid cycle related proteins, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"			4100000	33.1	225.6
IDH3A	P50213	"Citric acid cycle related proteins, Disease related genes, Enzymes, Essential proteins, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"			16000	0.8	66.2
IDH3B	O43837	"Citric acid cycle related proteins, Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"			4200	4.9	17.9
IDH3G	P51553	"Citric acid cycle related proteins, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"			9400	8.8	14.7
IDI1	Q13907	"Enzymes, Metabolic proteins, Predicted intracellular proteins"			52000	4.8	74.4
IDI2	Q9BXS1	"Enzymes, Metabolic proteins, Predicted intracellular proteins"				1.5	136.0
IDNK	Q5T6J7	"Enzymes, Metabolic proteins, Predicted intracellular proteins"				0.2	22.3
IDO1	P14902	"Cancer-related genes, Enzymes, Metabolic proteins, Predicted intracellular proteins"				0.0	0.3
IDO2	Q6ZQW0	"Metabolic proteins, Predicted intracellular proteins"				0.0	0.2
IDS	P22304	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Intracellular and membrane"	Enzyme	6300000	0.2	0.3
IDUA	P35475	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Intracellular and membrane"	Enzyme	86000	0.0	3.5
IER2	Q9BTL4	"Predicted intracellular proteins"				19.7	3.0
IER3	P46695	"Predicted intracellular proteins, Predicted membrane proteins"				0.1	0.1
IER3IP1	Q9Y5U9	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins"				0.0	0.2
IER5	Q5VY09	"Predicted intracellular proteins"				10.4	9.4
IER5L	Q5T953	"Predicted intracellular proteins"				0.2	0.3
IFFO1	Q0D2I5	"Predicted intracellular proteins"				0.3	18.0
IFFO2	Q5TF58	"Predicted intracellular proteins"				1.9	9.3
IFI16	Q16666	"Plasma proteins, Predicted intracellular proteins"				3.6	0.7
IFI27	P40305	"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"				11.7	0.2
IFI27L1	Q96BM0	"Predicted intracellular proteins"	"Intracellular and membrane"	Other		1.8	0.2
IFI27L2	Q9H2X8	"Predicted intracellular proteins"	"Intracellular and membrane"	Other		3.5	0.0
IFI30	P13284	"Predicted intracellular proteins, Predicted membrane proteins"	"Intracellular and membrane"	Immunity	260000	0.0	0.0
IFI35	P80217	"Predicted intracellular proteins, Predicted secreted proteins"	"Secreted to blood"	Immunity	45000	0.1	0.7
IFI44	Q8TCB0	"Predicted intracellular proteins"				1.8	0.2
IFI44L	Q53G44	"Predicted intracellular proteins"				0.1	0.3
IFI6	P09912	"Predicted membrane proteins"				0.6	0.3
IFIH1	Q9BYX4	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"				3.1	0.9
IFIT1	P09914	"Predicted intracellular proteins"				1.7	9.6
IFIT1B	Q5T764	"Predicted intracellular proteins"				134.5	0.1
IFIT2	P09913	"Predicted intracellular proteins"				1.9	0.5
IFIT3	O14879	"Plasma proteins, Predicted intracellular proteins"				0.9	1.9
IFIT5	Q13325	"Predicted intracellular proteins"				1.2	0.3
IFITM1	P13164	"CD markers, Plasma proteins, Predicted membrane proteins, Transporters"				1.7	0.0
IFITM10	A6NMD0	"Predicted membrane proteins"				0.0	0.0
IFITM2	Q01629	"Predicted membrane proteins, Transporters"			40000	5.1	0.2
IFITM3	Q01628	"Essential proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				4.4	0.4
IFITM5	A6NNB3	"Disease related genes, Human disease related genes, Predicted membrane proteins"				0.0	0.0
IFNA1	P01562	"Cancer-related genes, Plasma proteins, Predicted secreted proteins"	"Secreted to blood"	Interferon		0.0	0.0
IFNA10	P01566	"Predicted secreted proteins"	"Secreted to blood"	Interferon		0.0	0.0
IFNA13	P01562	"Cancer-related genes, Plasma proteins, Predicted secreted proteins"	"Secreted to blood"	Interferon		0.0	0.0
IFNA14	P01570	"Predicted secreted proteins"	"Secreted to blood"	Interferon		0.0	0.0
IFNA16	P05015	"Predicted secreted proteins"	"Secreted to blood"	Interferon		0.0	0.0
IFNA17	P01571	"Predicted secreted proteins"	"Secreted to blood"	Interferon		0.0	0.0
IFNA2	P01563	"Predicted secreted proteins"	"Secreted to blood"	Interferon		0.0	0.0
IFNA21	P01568	"Predicted secreted proteins"	"Secreted to blood"	Interferon		0.0	0.0
IFNA4	P05014	"Predicted secreted proteins"	"Secreted to blood"	Interferon		0.0	0.0
IFNA5	P01569	"Predicted secreted proteins"	"Secreted to blood"	Interferon		0.0	0.0
IFNA6	P05013	"Predicted secreted proteins"	"Secreted to blood"	Interferon		0.0	0.0
IFNA7	P01567	"Predicted secreted proteins"	"Secreted to blood"	Interferon		0.0	0.0
IFNA8	P32881	"Predicted secreted proteins"	"Secreted to blood"	Interferon		0.0	0.0
IFNAR1	P17181	"Cancer-related genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"			190000	3.2	45.0
IFNAR2	P48551	"Cancer-related genes, Disease related genes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"	"Secreted to blood"	Receptor	700000	0.0	0.2
IFNB1	P01574	"Cancer-related genes, Predicted secreted proteins"	"Secreted to blood"	Interferon		0.0	0.0
IFNE	Q86WN2	"Predicted secreted proteins"	"Secreted to blood"	Interferon		0.0	0.0
IFNG	P01579	"Cancer-related genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted secreted proteins"	"Secreted to blood"	Interferon		0.3	0.3
IFNGR1	P15260	"CD markers, Disease related genes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins"				3.7	42.1
IFNGR2	P38484	"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins"				0.6	10.8
IFNK	Q9P0W0	"Predicted secreted proteins"	"Secreted to blood"	Interferon		0.0	0.1
IFNL1	Q8IU54	"Predicted secreted proteins"	"Secreted to blood"	Interferon		0.0	0.0
IFNL2	Q8IZJ0	"Predicted secreted proteins"	"Secreted to blood"	Interferon		0.0	0.0
IFNL3	Q8IZI9	"Predicted secreted proteins"	"Secreted to blood"	Interferon		0.0	0.0
IFNL4		"Predicted secreted proteins"	"Secreted - unknown location"			0.0	0.0
IFNLR1	Q8IU57	"Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins"	"Intracellular and membrane"	Receptor		0.0	26.7
IFNW1	P05000	"Predicted secreted proteins"	"Secreted to blood"	Interferon		0.0	0.0
IFRD1	O00458	"Predicted intracellular proteins, Predicted membrane proteins"				0.0	7.0
IFRD2	Q12894	"Predicted intracellular proteins, Predicted membrane proteins"				11.0	17.9
IFT122	Q9HBG6	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"				8.2	13.6
IFT140	Q96RY7	"Disease related genes, Human disease related genes, Predicted intracellular proteins"				0.0	19.2
IFT172	Q9UG01	"Disease related genes, Human disease related genes, Predicted intracellular proteins"				1.5	75.9
IFT20	Q8IY31	"Predicted intracellular proteins"				4.4	15.1
IFT22	Q9H7X7	"Predicted intracellular proteins"				1.5	3.3
IFT27	Q9BW83	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"				1.5	10.4
IFT43	Q96FT9	"Disease related genes, Human disease related genes, Predicted intracellular proteins"				1.5	81.1
IFT46	Q9NQC8	"Predicted intracellular proteins, Transporters"				1.8	21.5
IFT52	Q9Y366	"Disease related genes, Human disease related genes, Predicted intracellular proteins"				10.4	27.1
IFT57	Q9NWB7	"Disease related genes, Human disease related genes, Predicted intracellular proteins"				3.6	7.6
IFT74	Q96LB3	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"				4.1	32.3
IFT80	Q9P2H3	"Disease related genes, Human disease related genes, Predicted intracellular proteins"				0.0	0.3
IFT81	Q8WYA0	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"				0.1	119.3
IFT88	Q13099	"Predicted intracellular proteins, Transporters"				5.2	106.1
IFTAP	Q86VG3	"Predicted intracellular proteins"				0.0	23.9
IGBP1	P78318	"Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins"			34000	10.7	37.2
IGBP1P2		"Predicted intracellular proteins"				0.0	0.0
IGDCC3	Q8IVU1	"Predicted intracellular proteins, Predicted membrane proteins"				0.2	0.5
IGDCC4	Q8TDY8	"Plasma proteins, Predicted membrane proteins"			8200000	0.0	27.0
IGF1	P05019	"Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins, RAS pathway related proteins"	"Secreted to blood"	"Growth factor"	120000000	0.0	12.3
IGF1R	P08069	"Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, RAS pathway related proteins"			6800	25.6	199.7
IGF2	P01344	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins"	"Secreted to blood"	Hormone	520000000	0.0	0.2
IGF2BP1	Q9NZI8	"Predicted intracellular proteins"			6600	0.0	0.4
IGF2BP2	Q9Y6M1	"Human disease related genes, Plasma proteins, Predicted intracellular proteins"				68.9	18.6
IGF2BP3	O00425	"Predicted intracellular proteins"			6900	0.6	2.9
IGF2R	P11717	"Cancer-related genes, CD markers, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"			130000000	9.5	186.7
IGFALS	P35858	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Secreted to blood"	"Cell adhesion"	8300000000	0.0	0.0
IGFBP1	P08833	"Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins"	"Secreted to blood"	Other	27000000	0.0	0.0
IGFBP2	P18065	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Secreted to blood"	Other	280000000	0.1	0.6
IGFBP3	P17936	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Secreted to blood"	Other	1400000000	0.0	0.3
IGFBP4	P22692	"Plasma proteins, Predicted secreted proteins"	"Secreted to blood"	Other	260000000	0.0	0.4
IGFBP5	P24593	"Plasma proteins, Predicted secreted proteins"	"Secreted to blood"	Other	170000000	0.2	119.8
IGFBP6	P24592	"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Secreted to blood"	Other	160000000	0.0	1.4
IGFBP7	Q16270	"Disease related genes, Plasma proteins, Predicted secreted proteins"	"Secreted to blood"	"Cell adhesion"	43000000	5.3	1.9
IGFBPL1	Q8WX77	"Predicted secreted proteins"	"Secreted to blood"	"No annotated function"		0.0	0.0
IGFL1	Q6UW32	"Predicted secreted proteins"	"Secreted in other tissues"	"No annotated function"		0.0	0.0
IGFL2	Q6UWQ7	"Predicted intracellular proteins, Predicted secreted proteins"	"Secreted in other tissues"	"No annotated function"		0.0	0.0
IGFL3	Q6UXB1	"Predicted secreted proteins"	"Secreted in other tissues"	"No annotated function"		0.0	0.0
IGFL4	Q6B9Z1	"Predicted intracellular proteins, Predicted secreted proteins"	"Secreted - unknown location"	"No annotated function"		0.0	0.4
IGFLR1	Q9H665	"Predicted intracellular proteins, Predicted membrane proteins"	"Intracellular and membrane"	Receptor		0.0	0.3
IGFN1	Q86VF2	"Predicted intracellular proteins"				0.0	81.7
IGHA1	P01876	"Disease related genes, Immunoglobulin genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
