gene,logFC,neg_log10_p,pi_score,adj_pval,direction
TMEM109,-0.397,0.7654,0.496729,0.99973,NS
PCCB,0.2951,1.0264,0.497827,0.99973,NS
NPEPPS,-0.216,1.3696,0.505984,0.99973,NS
SUCLA2,0.2411,1.2237,0.506987,0.99973,NS
MYBPC2,-0.5373,0.54,0.512705,0.99973,NS
COL15A1,0.4828,0.5948,0.516265,0.99973,NS
SLK,0.4665,0.61240000000000006,0.517959,0.99973,NS
SNRPG,-0.4344,0.6571,0.5183,0.99973,NS
MTM1,-0.474,0.6,0.519504,0.99973,NS
MFAP4,-0.5292,0.5356,0.520635,0.99973,NS
FITM1,0.4583,0.6177,0.521091,0.99973,NS
FKBP2,0.4198,0.6731,0.521703,0.99973,NS
TMEM167A,-0.4458,0.6303,0.523621,0.99973,NS
ATP5F1B,0.2058,1.3627,0.524344,0.99973,NS
EIF4H,-0.2634,1.063,0.524807,0.99973,NS
TYMP,0.5792,0.481,0.526523,0.99973,NS
SLC25A3,0.2923,0.9516,0.527025,0.99973,NS
C11orf68,-0.2618,1.0619,0.527216,0.99973,NS
HDGF,0.2933,0.9472,0.527491,0.99973,NS
AIFM1,0.2167,1.2775,0.528712,0.99973,NS
ANP32A,0.3426,0.805,0.529853,0.99973,NS
MRPS23,0.3482,0.792,0.529966,0.99973,NS
NEDD8,-0.3177,0.8677,0.530114,0.99973,NS
PPIB,0.3285,0.8389,0.530199,0.99973,NS
HSPB6,0.3316,0.83,0.530588,0.99973,NS
LETM1,0.3229,0.8502,0.531501,0.99973,NS
SLC35A4,0.3778,0.7247,0.532358,0.99973,NS
ERP29,0.3143,0.8693,0.533107,0.99973,NS
DHCR24,-0.4343,0.6272,0.534086,0.99973,NS
RAB1B,-0.3067,0.8879,0.534141,0.99973,NS
SCN1B,-0.3778,0.7206,0.534256,0.99973,NS
NID1,0.5631,0.4834,0.534359,0.99973,NS
NUDT16,-0.3161,0.8607,0.534484,0.99973,NS
CLPP,-0.3767,0.7203,0.535368,0.99973,NS
MCU,-0.3396,0.796,0.536654,0.99973,NS
VAT1,0.433,0.6215,0.538167,0.99973,NS
ALAD,-0.3936,0.6733,0.543212,0.99973,NS
COPB1,0.3914,0.67490000000000006,0.54429,0.99973,NS
MYH3,-0.4953,0.531,0.545775,0.99973,NS
GNB2,0.2802,0.9373,0.546186,0.99973,NS
TUBA8,0.2958,0.885,0.547256,0.99973,NS
MRPL12,0.336,0.7783,0.547668,0.99973,NS
OPTN,-0.4587,0.5694,0.548066,0.99973,NS
TXNRD1,-0.248,1.0506,0.548805,0.99973,NS
MCEE,-0.3515,0.7351,0.551565,0.99973,NS
NPEPL1,0.3167,0.8157,0.55166,0.99973,NS
PPTC7,0.3506,0.7295,0.554933,0.99973,NS
GALK1,-0.4417,0.5769,0.55612,0.99973,NS
MOB2,-0.389,0.6546,0.556341,0.99973,NS
DHRS11,-0.3568,0.7135,0.556421,0.99973,NS
HSPA2,-0.3242,0.7839,0.556971,0.99973,NS
ETFA,0.2186,1.16,0.557657,0.99973,NS
DNAJA4,0.3271,0.7742,0.558179,0.99973,NS
PBDC1,-0.3335,0.7588,0.558363,0.99973,NS
HSPB1,0.2658,0.9491,0.559415,0.99973,NS
DHRS7C,-0.3292,0.766,0.559531,0.99973,NS
GGCT,-0.2965,0.8492,0.560053,0.99973,NS
SNTA1,-0.286,0.8803,0.560055,0.99973,NS
TUBB2A,0.3679,0.6795,0.56234,0.99973,NS
NDUFS5,0.323,0.7702,0.563896,0.99973,NS
TUFM,0.2289,1.0833,0.56502,0.99973,NS
