gene,logFC,neg_log10_p,pi_score,adj_pval,direction
CLUH,0.5025,0.7828,0.404203,0.99862,NS
PGP,0.3515,1.1115,0.406737,0.99862,NS
GNB2,-0.4256,0.9165,0.407335,0.99862,NS
MYOZ3,-0.8147,0.4781,0.40787,0.99862,NS
RPL5,0.6889,0.5617,0.41027,0.99862,NS
JCHAIN,1.0956,0.3532,0.410272,0.99862,NS
PLAA,-0.4562,0.8469,0.410835,0.99862,NS
DNAJB1,-0.7775,0.4965,0.411131,0.99862,NS
ACAA1,0.5417,0.712,0.41143,0.99862,NS
COX5B,0.5336,0.7213,0.412177,0.99862,NS
XPO1,-0.5618,0.6822,0.413765,0.99862,NS
FABP5,0.5099,0.7453,0.416833,0.99862,NS
TXNDC12,-0.5231,0.7255,0.417341,0.99862,NS
NDUFA7,0.5889,0.6435,0.417853,0.99862,NS
ADH5,-0.3923,0.9658,0.417984,0.99862,NS
NDUFB8,0.589,0.6402,0.419635,0.99862,NS
PTCD3,-0.7704,0.4892,0.419863,0.99862,NS
CFL2,-0.3375,1.1108,0.421778,0.99862,NS
APOD,0.7014,0.5296,0.425191,0.99862,NS
PLCL2,-0.8238,0.4508,0.425255,0.99862,NS
IGHA2,0.9699,0.3827,0.425457,0.99862,NS
BCKDHA,0.5736,0.6463,0.425884,0.99862,NS
SELENOW,-0.7405,0.4975,0.428171,0.99862,NS
ATP1A1,0.3892,0.9417,0.430014,0.99862,NS
GLRX5,-0.4131,0.8848,0.430991,0.99862,NS
SCP2,-0.6034,0.6039,0.432154,0.99862,NS
FIS1,-0.5641,0.6451,0.432632,0.99862,NS
LYZ,-1.2792,0.2811,0.43696,0.99862,NS
THTPA,-0.4631,0.7761,0.437146,0.99862,NS
USO1,0.3993,0.8985,0.437752,0.99862,NS
DPYSL3,-0.5386,0.6658,0.437942,0.99862,NS
CAMK2A,0.5385,0.6651,0.438353,0.99862,NS
HSPH1,0.7149,0.501,0.438369,0.99862,NS
NDUFA12,0.463,0.7724,0.438913,0.99862,NS
