gene,logFC_Training_HR,logFC_Training_LR,pi_HR,pi_LR,pi_Interaction,significance,quadrant
CMBL,-0.3682,-0.17,0.347514,0.815682,0.84565,NS,Concordant Down
SLC1A4,-0.0758,-0.4613,0.991281,0.585054,0.81595,NS,Concordant Down
ACTR2,0.1632,0.3731,0.90337,0.435495,0.88141099999999994,NS,Concordant Up
PGD,-0.3733,-0.1621,0.447977,0.870791,0.862438,NS,Concordant Down
BOLA2,-0.462,0.0734,0.386617,0.979394,0.379799,NS,HR↓ LR↑
COL15A1,-0.0627,0.4726,0.992206,0.539264,0.592465,NS,HR↓ LR↑
FKBP4,0.4873,0.048,0.24489,0.990615,0.475649,NS,Concordant Up
RPL17,0.3494,-0.1857,0.760482,0.91294,0.587718,NS,HR↑ LR↓
SHMT1,0.3879,-0.1472,0.501109,0.913734,0.364159,NS,HR↑ LR↓
ESYT2,-0.1526,-0.3821,0.953048,0.419669,0.904004,NS,Concordant Down
SCN1B,-0.1483,-0.3864,0.963598,0.535249,0.916675,NS,Concordant Down
DDX19B,-0.3695,0.1648,0.826536,0.960187,0.734187,NS,HR↓ LR↑
ALAD,-0.1403,-0.3928,0.951542,0.551588,0.880039,NS,Concordant Down
MT-CO2,0.4536,-0.0793,0.396706,0.97815,0.398298,NS,HR↑ LR↓
PFKL,0.3227,-0.2094,0.69011,0.846748,0.439907,NS,HR↑ LR↓
RPLP1,-0.3923,-0.1395,0.633755,0.947003,0.886581,NS,Concordant Down
TMX4,-0.4676,0.0641,0.212483,0.980355,0.243475,NS,HR↓ LR↑
MXRA7,0.5186,0.0129,0.556004,0.99961,0.644765,NS,Concordant Up
MRPS28,0.2383,0.293,0.853143,0.724737,0.99472,NS,Concordant Up
MOB4,0.2904,-0.2409,0.786252,0.739395,0.453872,NS,HR↑ LR↓
TCP1,0.334,-0.1964,0.484616,0.778457,0.224235,NS,HR↑ LR↓
LANCL1,-0.4154,0.1145,0.389737,0.942996,0.319346,NS,HR↓ LR↑
GLUD1,0.1855,0.3428,0.796849,0.296025,0.896457,NS,Concordant Up
CALR,0.372,0.1559,0.457531,0.882818,0.85785,NS,Concordant Up
APOE,-0.3605,-0.1665,0.818299,0.947406,0.959155,NS,Concordant Down
ERP29,0.2121,0.3132,0.826675,0.544096,0.972617,NS,Concordant Up
MRPL1,-0.4241,-0.1,0.762154,0.985345,0.896625,NS,Concordant Down
TXNDC12,-0.3075,0.21560000000000001,0.703392,0.813173,0.417341,NS,HR↓ LR↑
AMPD1,-0.3101,-0.2126,0.724479,0.848517,0.98139,NS,Concordant Down
MRPS27,0.1207,-0.3993,0.972238,0.720095,0.661917,NS,HR↑ LR↓
TIMM50,0.2345,0.2837,0.839172,0.741919,0.995478,NS,Concordant Up
NDRG2,-0.1973,-0.3207,0.772691,0.362931,0.938981,NS,Concordant Down
FBLN5,0.4569,0.0607,0.643304,0.992789,0.793176,NS,Concordant Up
SERPINB1,0.2814,0.2352,0.70116,0.753428,0.994801,NS,Concordant Up
TPD52L2,0.3663,0.1501,0.496014,0.89142,0.86219,NS,Concordant Up
RPS25,0.2124,0.3036,0.831228,0.599179,0.978969,NS,Concordant Up
FXN,0.3572,0.1579,0.556171,0.90114,0.898733,NS,Concordant Up
SLC25A4,0.505,0.01,0.10292,0.999508,0.23862,NS,Concordant Up
NDUFA12,0.4888,0.0258,0.247315,0.997444,0.438913,NS,Concordant Up
MT-ATP8,0.3874,-0.1271,0.66842,0.949495,0.551838,NS,HR↑ LR↓
ACAD9,-0.0375,-0.4757,0.996666,0.313488,0.612966,NS,Concordant Down
HSD17B4,-0.2381,0.275,0.830082,0.699176,0.448525,NS,HR↓ LR↑
SRSF3,0.2304,0.2826,0.857103,0.721133,0.994935,NS,Concordant Up
EIF3F,0.3058,0.2071,0.48842,0.719756,0.963158,NS,Concordant Up
NIBAN1,0.4578,0.054,0.377694,0.989949,0.610637,NS,Concordant Up
SYNPO,0.1358,0.3745,0.957273,0.588235,0.896784,NS,Concordant Up
PPP3R1,0.0361,-0.4738,0.994845,0.132704,0.272344,NS,HR↑ LR↓
DLAT,0.2938,0.216,0.464783,0.640035,0.974271,NS,Concordant Up
MTPN,0.2766,-0.233,0.711128,0.758023,0.372965,NS,HR↑ LR↓
RMDN1,0.1823,0.3266,0.891733,0.591929,0.95148,NS,Concordant Up
PPIL1,0.1331,-0.3758,0.934274,0.408592,0.359983,NS,HR↑ LR↓
DEFA3,0.1151,-0.3935,0.993662,0.861619,0.890297,NS,HR↑ LR↓
MYBPC1,-0.1218,-0.3863,0.96476,0.573303,0.871014,NS,Concordant Down
FAH,-0.4042,0.1038,0.330878,0.944398,0.27496,NS,HR↓ LR↑
TF,-0.1964,-0.3113,0.900747,0.703005,0.976048,NS,Concordant Down
PSMD7,0.3268,-0.178,0.665696,0.878313,0.45192,NS,HR↑ LR↓
NNT,0.3672,0.1375,0.29656,0.867273,0.765484,NS,Concordant Up
EML1,-0.2372,-0.2667,0.784796,0.680637,0.997894,NS,Concordant Down
MAP2K4,-0.3736,0.1299,0.604631,0.947324,0.505536,NS,HR↓ LR↑
RNF114,0.3189,0.1843,0.779751,0.900904,0.970681,NS,Concordant Up
VKORC1L1,-0.0228,-0.4799,0.998697,0.397585,0.598764,NS,Concordant Down
CLUH,0.4951,-0.0074,0.312039,0.999784,0.404203,NS,HR↑ LR↓
EIF3K,0.311,0.1915,0.511273,0.772458,0.948575,NS,Concordant Up
EPS15L1,-0.4588,0.0427,0.541841,0.995609,0.591627,NS,HR↓ LR↑
RAD23A,-0.2951,-0.2058,0.604332,0.769455,0.975507,NS,Concordant Down
MLEC,0.4804,0.0205,0.285051,0.99847,0.466837,NS,Concordant Up
PIP4K2B,-0.0802,-0.4205,0.982887,0.308882,0.725162,NS,Concordant Down
FUBP1,-0.3748,0.1247,0.712112,0.941584,0.577255,NS,HR↓ LR↑
CASQ2,-0.4525,0.0467,0.331697,0.991658,0.389984,NS,HR↓ LR↑
RPS4X,0.4532,0.0454,0.268067,0.991032,0.503517,NS,Concordant Up
ANXA4,-0.3417,0.1557,0.572549,0.895625,0.395981,NS,HR↓ LR↑
IDH2,0.1691,0.328,0.784121,0.224239,0.864333,NS,Concordant Up
HCCS,0.3741,0.1225,0.574514,0.938108,0.845085,NS,Concordant Up
TOLLIP,0.1333,0.3629,0.92501,0.357381,0.826779,NS,Concordant Up
RPL23,0.473,0.0227,0.391616,0.998488,0.571646,NS,Concordant Up
DNM1L,-0.3377,0.1579,0.525043,0.875624,0.334891,NS,HR↓ LR↑
YWHAG,-0.3911,-0.1042,0.363222,0.944278,0.719203,NS,Concordant Down
ARL8A,-0.1747,-0.3204,0.898646,0.592936,0.949164,NS,Concordant Down
IGKV3-11,-0.2142,-0.2808,0.898467,0.799984,0.993378,NS,Concordant Down
PGLS,0.216,-0.2786,0.814146,0.637804,0.374144,NS,HR↑ LR↓
DCTN3,-0.171,0.3234,0.941489,0.61931,0.591263,NS,HR↓ LR↑
GBE1,-0.0328,0.4614,0.996906,0.297083,0.454161,NS,HR↓ LR↑
IDH3B,0.2546,0.2389,0.625594,0.61132,0.999138,NS,Concordant Up
CAPNS1,-0.4142,-0.0786,0.307529,0.969183,0.618505,NS,Concordant Down
EIF5,-0.3704,-0.1218,0.5099,0.938067,0.830779,NS,Concordant Down
APPL1,-0.0832,0.4086,0.979336,0.373547,0.451473,NS,HR↓ LR↑
PPP1R14B,-0.3642,0.1274,0.77955700000000006,0.96382,0.688226,NS,HR↓ LR↑
GSN,-0.0857,0.4052,0.978264,0.426915,0.47328,NS,HR↓ LR↑
CSNK2A1,0.335,0.1554,0.592498,0.87113,0.90698,NS,Concordant Up
MAPK1,-0.4326,0.0578,0.369644,0.986938,0.403445,NS,HR↓ LR↑
AP2M1,0.028,0.4623,0.997334,0.241282,0.495203,NS,Concordant Up
SGCA,0.4171,0.0726,0.354417,0.976685,0.640129,NS,Concordant Up
UQCRC2,0.3438,0.145,0.35369,0.850726,0.824717,NS,Concordant Up
IPO5,-0.2467,-0.2415,0.657018,0.614079,0.99991,NS,Concordant Down
RAB2B,-0.4008,0.0864,0.623431,0.980609,0.597535,NS,HR↓ LR↑
RPL30,0.416,-0.0705,0.566732,0.986314,0.56899,NS,HR↑ LR↓
UBE2K,-0.2076,-0.2787,0.869115,0.71994,0.989647,NS,Concordant Down
SUCLG1,0.2509,0.2343,0.620035,0.608859,0.999002,NS,Concordant Up
PRKACA,-0.4492,-0.0356,0.187493,0.99343,0.402114,NS,Concordant Down
NIF3L1,0.367,-0.1169,0.61537,0.956038,0.528728,NS,HR↑ LR↓
SLC25A24,0.278,0.2057,0.733887,0.826552,0.987945,NS,Concordant Up
CRIP2,-0.0507,0.4296,0.995642,0.557433,0.672484,NS,HR↓ LR↑
SYPL1,-0.2088,-0.2712,0.835635,0.672905,0.990343,NS,Concordant Down
FAM114A2,0.1912,-0.2885,0.900394,0.656324,0.519886,NS,HR↑ LR↓
PSMD9,-0.3773,-0.1016,0.470864,0.955461,0.779659,NS,Concordant Down
LSM4,0.2376,0.2411,0.907173,0.876104,0.999986,NS,Concordant Up
CLIC4,0.1307,0.3467,0.955727,0.621226,0.90778,NS,Concordant Up
SGCG,0.3195,-0.1571,0.715434,0.917489,0.549268,NS,HR↑ LR↓
FBLN2,-0.3269,-0.1492,0.807956,0.946965,0.956544,NS,Concordant Down
MPP1,0.2325,-0.2429,0.889093,0.862837,0.669479,NS,HR↑ LR↓
CISD2,0.4493,0.026,0.588983,0.998522,0.722733,NS,Concordant Up
YWHAQ,0.2072,0.2677,0.853732,0.68569,0.991467,NS,Concordant Up
ZYX,0.4065,0.0671,0.412804,0.981428,0.672241,NS,Concordant Up
ACAD8,0.4063,-0.0664,0.456839,0.98370899999999994,0.466268,NS,HR↑ LR↓
EIF3C,0.4376,0.0345,0.186064,0.993215,0.390305,NS,Concordant Up
SPTAN1,0.465,0.0066,0.470538,0.999878,0.591305,NS,Concordant Up
ARF4,0.0778,0.393,0.976471,0.319081,0.687588,NS,Concordant Up
CTSB,-0.2908,0.1799,0.748456,0.874388,0.523506,NS,HR↓ LR↑
NUBPL,0.261,0.2093,0.79586,0.840815,0.994635,NS,Concordant Up
TBCB,-0.1875,0.2813,0.878676,0.641034,0.461139,NS,HR↓ LR↑
HK1,0.3103,0.1576,0.359605,0.783809,0.878092,NS,Concordant Up
ATP6V1E1,-0.3128,-0.1551,0.769219,0.93493,0.958162,NS,Concordant Down
SMIM20,0.3426,0.125,0.537703,0.92863,0.859818,NS,Concordant Up
SYNPO2,-0.4456,-0.0215,0.627245,0.999086,0.746013,NS,Concordant Down
ANXA3,-0.371,-0.0949,0.65678,0.972844,0.852854,NS,Concordant Down
ABCE1,-0.3453,-0.1202,0.570274,0.940532,0.863607,NS,Concordant Down
TARDBP,-0.0301,-0.4352,0.998494,0.598394,0.775143,NS,Concordant Down
EIF3G,0.2252,-0.2393,0.84593,0.794328,0.542616,NS,HR↑ LR↓
IDH3A,0.2929,0.1706,0.436188,0.758875,0.927968,NS,Concordant Up
PTRHD1,-0.1811,-0.2821,0.893597,0.702354,0.977389,NS,Concordant Down
CKB,0.2663,0.1969,0.61007,0.745292,0.982668,NS,Concordant Up
THTPA,-0.426,0.0371,0.401689,0.993954,0.437146,NS,HR↓ LR↑
CFL1,-0.3602,-0.1027,0.360014,0.936072,0.732813,NS,Concordant Down
TTR,0.1575,-0.3054,0.93901,0.721185,0.612416,NS,HR↑ LR↓
PPIC,0.4332,0.028,0.659758,0.997462,0.735551,NS,Concordant Up
BCAP29,0.055,-0.4061,0.993881,0.461455,0.622665,NS,HR↑ LR↓
RACK1,0.3077,0.1529,0.615285,0.8896,0.930491,NS,Concordant Up
PSMD6,-0.0457,-0.4147,0.993355,0.325857,0.634558,NS,Concordant Down
NDUFA5,-0.2058,0.2541,0.842037,0.714587,0.465037,NS,HR↓ LR↑
IGHG2,0.2661,-0.1933,0.839606,0.902333,0.656541,NS,HR↑ LR↓
SKP1,-0.2884,-0.1707,0.576556,0.822993,0.950877,NS,Concordant Down
RPS18,0.2565,0.2025,0.737793,0.808341,0.992493,NS,Concordant Up
TOM1,-0.4275,0.0306,0.250879,0.995439,0.335524,NS,HR↓ LR↑
NUDT3,-0.2114,-0.2462,0.845456,0.72616,0.997203,NS,Concordant Down
SSBP1,-0.2379,0.2192,0.720538,0.719899,0.347731,NS,HR↓ LR↑
GSTM2,-0.2249,-0.2321,0.764218,0.703921,0.999852,NS,Concordant Down
CS,0.2653,0.1916,0.495005,0.67591,0.973857,NS,Concordant Up
MGST3,-0.3927,0.0639,0.593891,0.988402,0.600051,NS,HR↓ LR↑
PLAA,-0.3251,0.131,0.557523,0.916763,0.410835,NS,HR↓ LR↑
TAGLN,0.1916,0.2622,0.954815,0.8995,0.995619,NS,Concordant Up
ANP32A,-0.1115,0.3422,0.957865,0.520543,0.490696,NS,HR↓ LR↑
UBQLN1,0.3761,0.0773,0.473094,0.975871,0.745204,NS,Concordant Up
PDHA1,0.2963,0.157,0.514405,0.835397,0.922378,NS,Concordant Up
TTN,-0.3578,0.0941,0.808012,0.98548500000000006,0.775198,NS,HR↓ LR↑
H3-3A,-0.2139,-0.2356,0.927976,0.896998,0.999491,NS,Concordant Down
ATPAF1,0.356,-0.0935,0.519426,0.962021,0.457811,NS,HR↑ LR↓
EHD2,-0.3338,0.1153,0.513562,0.932876,0.399334,NS,HR↓ LR↑
PRELP,0.3912,0.0574,0.735,0.993902,0.85676,NS,Concordant Up
SLC35A4,-0.0838,0.3641,0.989801,0.571684,0.726752,NS,HR↓ LR↑
EIF4H,-0.184,-0.2634,0.79862,0.525278,0.975393,NS,Concordant Down
PA2G4,-0.207,-0.2402,0.772558,0.640456,0.996389,NS,Concordant Down
SUCLG2,0.3421,0.1042,0.588363,0.957288,0.851605,NS,Concordant Up
ITIH4,0.1244,-0.3215,0.97222,0.779085,0.730279,NS,HR↑ LR↓
COQ10A,-0.435,-0.0107,0.506683,0.999688,0.642551,NS,Concordant Down
RBBP7,-0.0973,0.3479,0.980683,0.710045,0.694707,NS,HR↓ LR↑
TCAP,-0.2805,-0.1639,0.809096,0.925889,0.977117,NS,Concordant Down
NDUFA2,0.4117,0.0307,0.325949,0.995778,0.534403,NS,Concordant Up
SLC25A13,0.3429,-0.0989,0.519901,0.954735,0.443736,NS,HR↑ LR↓
DDX17,-0.1493,0.2919,0.942563,0.717876,0.620351,NS,HR↓ LR↑
RCN2,0.2434,0.1973,0.782169,0.823791,0.994857,NS,Concordant Up
STUB1,-0.1161,-0.3246,0.958824,0.501371,0.8875,NS,Concordant Down
COX7A2,0.2348,0.2057,0.799888,0.819963,0.998045,NS,Concordant Up
AFG3L2,0.2185,0.222,0.713708,0.652434,0.999958,NS,Concordant Up
ARMT1,-0.0711,-0.3677,0.982323,0.426156,0.74842,NS,Concordant Down
SEC31A,-0.2517,0.1868,0.744438,0.833422,0.472338,NS,HR↓ LR↑
PSMB2,0.2326,-0.2059,0.663708,0.687741,0.27839,NS,HR↑ LR↓
MT-CYB,-0.0649,-0.3727,0.992993,0.614737,0.859214,NS,Concordant Down
CP,-0.1905,-0.2468,0.937519,0.875028,0.99619,NS,Concordant Down
HNRNPH3,-0.1491,-0.287,0.95479,0.75313,0.969503,NS,Concordant Down
ATXN10,-0.3625,0.0735,0.769699,0.987265,0.734463,NS,HR↓ LR↑
LDHB,-0.2419,0.1939,0.791508,0.843882,0.531238,NS,HR↓ LR↑
DENR,0.3256,0.1097,0.691546,0.961403,0.901337,NS,Concordant Up
CRKL,0.3937,0.0412,0.509211,0.99426,0.698575,NS,Concordant Up
ADK,0.4178,-0.0169,0.464322,0.999,0.548884,NS,HR↑ LR↓
SUCLA2,0.1947,0.2394,0.719286,0.51401,0.990915,NS,Concordant Up
PM20D2,-0.4143,-0.019,0.659086,0.999307,0.775987,NS,Concordant Down
SLC16A1,0.4214,-0.0118,0.51979,0.999589,0.611051,NS,HR↑ LR↓
MOCS2,-0.1462,-0.2865,0.973221,0.815408,0.97915,NS,Concordant Down
CAPZB,-0.2165,0.2157,0.826249,0.796511,0.520086,NS,HR↓ LR↑
PDK2,0.2218,0.2096,0.858788,0.844347,0.99972,NS,Concordant Up
GOT2,0.3144,0.116,0.442601,0.909265,0.828776,NS,Concordant Up
HEBP2,-0.3178,-0.1123,0.458206,0.920137,0.825924,NS,Concordant Down
NUDC,-0.0445,0.3851,0.992688,0.350536,0.467327,NS,HR↓ LR↑
GNAI2,0.3328,0.0964,0.60592,0.963537,0.852502,NS,Concordant Up
AIFM1,0.2131,0.2153,0.620952,0.548348,0.999977,NS,Concordant Up
ACP1,-0.1138,-0.3134,0.943977,0.490042,0.867327,NS,Concordant Down
NT5C1A,-0.2353,-0.1919,0.799544,0.844556,0.995595,NS,Concordant Down
ADPRHL1,-0.2514,-0.1756,0.786919,0.880126,0.987092,NS,Concordant Down
JSRP1,-0.3517,0.0749,0.57926,0.979334,0.554945,NS,HR↓ LR↑
TMX1,-0.2824,0.144,0.711311,0.903055,0.521084,NS,HR↓ LR↑
CRAT,0.3125,0.1134,0.461863,0.916372,0.832817,NS,Concordant Up
GNB2,-0.1455,0.2801,0.898224,0.551214,0.407335,NS,HR↓ LR↑
FLOT2,-0.2608,-0.1647,0.824653,0.895195,0.982064,NS,Concordant Down
CHCHD7,-0.1757,0.2498,0.88979,0.741527,0.546931,NS,HR↓ LR↑
MYOM3,-0.3917,0.0335,0.69585,0.997681,0.735631,NS,HR↓ LR↑
RRAGC,0.2935,0.1315,0.760139,0.947769,0.948848,NS,Concordant Up
AKR1B1,-0.3289,0.0949,0.636983,0.966935,0.570602,NS,HR↓ LR↑
ELOB,0.2765,-0.147,0.571566,0.857498,0.348282,NS,HR↑ LR↓
PCCA,0.1197,0.3033,0.957794,0.659149,0.924029,NS,Concordant Up
EPHX1,0.4194,-0.0023,0.428183,0.999982,0.55717,NS,HR↑ LR↓
HSD17B12,-0.1473,0.274,0.922178,0.655292,0.531099,NS,HR↓ LR↑
COL18A1,-0.2613,0.1596,0.835981,0.909973,0.663645,NS,HR↓ LR↑
MT-ND2,-0.0986,-0.322,0.97656,0.685341,0.905906,NS,Concordant Down
LMAN1,-0.2665,-0.1537,0.632231,0.855195,0.954566,NS,Concordant Down
FBN1,-0.282,0.1372,0.838884,0.953646,0.731308,NS,HR↓ LR↑
RAB1B,0.1107,-0.3083,0.950893,0.535067,0.485592,NS,HR↑ LR↓
DCAF6,0.1428,-0.2751,0.906857,0.598878,0.452592,NS,HR↑ LR↓
SLC2A1,0.0466,-0.3704,0.996911,0.770267,0.80771,NS,HR↑ LR↓
TMED10,-0.3104,-0.1062,0.649118,0.954705,0.889475,NS,Concordant Down
CYB5B,-0.0663,-0.3503,0.981988,0.390593,0.727413,NS,Concordant Down
DARS2,0.0566,-0.36,0.993296,0.631937,0.700181,NS,HR↑ LR↓
NEB,-0.3249,0.0915,0.849194,0.986936,0.817262,NS,HR↓ LR↑
PAK2,0.2653,0.1506,0.591679,0.845365,0.947272,NS,Concordant Up
MAP3K20,0.0699,-0.346,0.972091,0.246341,0.306062,NS,HR↑ LR↓
COMT,0.3387,0.0767,0.484472,0.970623,0.762627,NS,Concordant Up
VPS13C,-0.3816,0.0333,0.55033,0.995498,0.573109,NS,HR↓ LR↑
FLOT1,-0.123,-0.2914,0.96651,0.755422,0.951712,NS,Concordant Down
IMPDH2,-0.1869,-0.2273,0.81088,0.668452,0.99446,NS,Concordant Down
PPIA,0.1709,0.2429,0.881316,0.711422,0.985855,NS,Concordant Up
EIF4A2,-0.2016,-0.2121,0.754315,0.67912,0.99961,NS,Concordant Down
NQO2,0.2521,-0.161,0.929097,0.966942,0.857551,NS,HR↑ LR↓
PDIA3,-0.2173,0.1958,0.807416,0.816318,0.517921,NS,HR↓ LR↑
GLRX5,-0.2316,0.1815,0.731114,0.806702,0.430991,NS,HR↓ LR↑
REEP5,-0.3498,0.063,0.578023,0.985399,0.574446,NS,HR↓ LR↑
DDAH1,0.2982,0.1144,0.627402,0.938707,0.897596,NS,Concordant Up
AKT1,-0.2634,0.1492,0.898086,0.948614,0.792219,NS,HR↓ LR↑
TNNT1,-0.2349,0.1774,0.906815,0.93887,0.786872,NS,HR↓ LR↑
HNRNPA0,-0.3617,-0.0493,0.79767,0.993588,0.869182,NS,Concordant Down
H6PD,0.2419,0.169,0.825436,0.895897,0.989095,NS,Concordant Up
FUNDC2,-0.1963,-0.2146,0.870853,0.816682,0.999282,NS,Concordant Down
NDUFS8,0.378,0.0327,0.44846,0.995623,0.643555,NS,Concordant Up
ACO1,-0.3408,0.0699,0.509158,0.977482,0.489484,NS,HR↓ LR↑
PHKA2,0.2208,-0.1898,0.871629,0.889568,0.676707,NS,HR↑ LR↓
ME1,0.1937,-0.2166,0.844712,0.769011,0.514482,NS,HR↑ LR↓
HIGD1A,-0.1974,-0.2124,0.918818,0.888022,0.999683,NS,Concordant Down
DDX3X,-0.1966,0.213,0.877317,0.829068,0.61549,NS,HR↓ LR↑
DPYSL2,-0.1236,0.285,0.93849,0.598381,0.509425,NS,HR↓ LR↑
PHYKPL,0.3745,-0.0339,0.555224,0.996288,0.612476,NS,HR↑ LR↓
YWHAE,-0.2682,-0.1395,0.624893,0.883035,0.939876,NS,Concordant Down
FYCO1,-0.263,0.1436,0.761571,0.918536,0.594331,NS,HR↓ LR↑
EIF1,0.3549,0.0502,0.50992,0.989562,0.724051,NS,Concordant Up
CYC1,-0.2487,0.1558,0.737251,0.88184,0.519663,NS,HR↓ LR↑
GPX4,0.056,-0.3484,0.987299,0.393159,0.479904,NS,HR↑ LR↓
NDUFV1,0.2643,0.1399,0.687841,0.900533,0.952339,NS,Concordant Up
COX6C,0.2537,0.1501,0.802098,0.921512,0.977466,NS,Concordant Up
CTBP1,-0.3967,0.007,0.692438,0.99987,0.737389,NS,HR↓ LR↑
MCEE,0.0545,-0.349,0.992345,0.562276,0.648989,NS,HR↑ LR↓
RAP1B,-0.2923,0.1111,0.66644,0.946672,0.552612,NS,HR↓ LR↑
SRSF2,0.3081,-0.0945,0.720784,0.972099,0.659032,NS,HR↑ LR↓
PTGES3,0.3995,0.0029,0.492397,0.999973,0.620645,NS,Concordant Up
VARS1,-0.1117,0.2904,0.95885,0.647352,0.59302,NS,HR↓ LR↑
UFD1,0.0406,-0.361,0.994175,0.392871,0.526416,NS,HR↑ LR↓
CCT3,0.2259,0.1756,0.739628,0.816213,0.991815,NS,Concordant Up
DARS1,0.3696,0.0315,0.48488,0.996093,0.66963,NS,Concordant Up
COPS5,-0.2232,-0.1779,0.689538,0.767629,0.992049,NS,Concordant Down
TPM2,0.2148,-0.1858,0.913692,0.924935,0.776338,NS,HR↑ LR↓
RABGGTA,0.2227,0.1778,0.801934,0.845114,0.994733,NS,Concordant Up
HDHD5,-0.1002,0.2994,0.973474,0.682547,0.663656,NS,HR↓ LR↑
PRKAR2A,-0.2213,-0.1782,0.665547,0.743372,0.992198,NS,Concordant Down
USO1,0.238,-0.1613,0.701492,0.840754,0.437752,NS,HR↑ LR↓
ATP5F1A,0.2705,0.1287,0.442169,0.845455,0.88591,NS,Concordant Up
USP5,-0.1969,-0.202,0.797906,0.747982,0.999917,NS,Concordant Down
RNF7,0.3041,0.0942,0.614441,0.959541,0.865285,NS,Concordant Up
ATP1A1,0.3934,0.0042,0.273306,0.999912,0.430014,NS,Concordant Up
TNPO1,-0.3829,0.0147,0.673928,0.999465,0.729632,NS,HR↓ LR↑
PTGR2,-0.2719,-0.1257,0.614772,0.906188,0.921263,NS,Concordant Down
LRPAP1,0.2682,0.1293,0.844049,0.959052,0.970309,NS,Concordant Up
RNPEP,0.2853,0.1118,0.577914,0.926803,0.886586,NS,Concordant Up
NPM1,-0.1257,-0.2712,0.943815,0.675563,0.944334,NS,Concordant Down
PFKFB1,0.2744,0.1223,0.697303,0.923671,0.931086,NS,Concordant Up
LGALS1,-0.3616,-0.035,0.480692,0.99492,0.674781,NS,Concordant Down
PPP2R5A,0.1275,0.2688,0.966919,0.807122,0.969076,NS,Concordant Up
PFDN2,0.1503,-0.2459,0.911904,0.712322,0.555716,NS,HR↑ LR↓
CPPED1,-0.3648,0.0312,0.542125,0.996552,0.601378,NS,HR↓ LR↑
PITRM1,-0.2241,0.1714,0.839078,0.87147,0.617472,NS,HR↓ LR↑
SMYD1,-0.278,0.1174,0.644109,0.928994,0.501041,NS,HR↓ LR↑
NUDT16,0.0691,-0.3259,0.983357,0.51058,0.563249,NS,HR↑ LR↓
PSMC3,-0.2847,-0.1094,0.529234,0.920333,0.868546,NS,Concordant Down
SETD7,-0.3705,0.0236,0.439632,0.99764,0.524804,NS,HR↓ LR↑
WDR77,0.38,-0.0134,0.646747,0.999517,0.708633,NS,HR↑ LR↓
ADH5,-0.1809,0.2113,0.814618,0.699222,0.417984,NS,HR↓ LR↑
NLRX1,0.1692,0.223,0.894711,0.76544,0.992734,NS,Concordant Up
CDC42,-0.3251,0.067,0.651804,0.984374,0.633323,NS,HR↓ LR↑
PARK7,-0.2324,-0.1595,0.683809,0.826328,0.979831,NS,Concordant Down
ATP2A1,-0.0369,-0.3545,0.993293,0.265955,0.575883,NS,Concordant Down
ALDH9A1,-0.1765,-0.2146,0.783308,0.621907,0.993805,NS,Concordant Down
PYGL,0.1496,0.2413,0.971574,0.911162,0.992203,NS,Concordant Up
SNTA1,-0.1043,-0.2864,0.954498,0.572719,0.893069,NS,Concordant Down
STOML2,0.1365,0.2541,0.916903,0.647073,0.955908,NS,Concordant Up
SRP14,0.2274,-0.1617,0.8767,0.921867,0.725071,NS,HR↑ LR↓
LAMP2,-0.1994,0.1895,0.884527,0.875764,0.676189,NS,HR↓ LR↑
RPS17,-0.3542,-0.0344,0.718135,0.99713,0.826535,NS,Concordant Down
RPSA,0.3565,-0.0319,0.620769,0.996887,0.668685,NS,HR↑ LR↓
PPP3CA,-0.1981,-0.1899,0.765787,0.745794,0.999763,NS,Concordant Down
CALD1,-0.1635,-0.2242,0.957239,0.901627,0.995772,NS,Concordant Down
PDHB,0.1483,0.2393,0.842515,0.5206,0.960224,NS,Concordant Up
ATIC,-0.3444,-0.043,0.454171,0.990969,0.676616,NS,Concordant Down
CAPN2,0.1383,0.249,0.928729,0.715326,0.967437,NS,Concordant Up
VAMP3,0.1309,0.256,0.948446,0.730533,0.964257,NS,Concordant Up
CACNA2D1,-0.3485,-0.0379,0.342417,0.991474,0.580126,NS,Concordant Down
LAP3,0.073,0.3124,0.982804,0.59442,0.849723,NS,Concordant Up
NPEPPS,-0.1672,-0.2181,0.737611,0.490409,0.985161,NS,Concordant Down
S100A10,0.2434,0.1415,0.844055,0.937474,0.980814,NS,Concordant Up
TOM1L2,-0.2699,0.1135,0.729675,0.955735,0.639161,NS,HR↓ LR↑
ANXA7,-0.3272,-0.0559,0.246849,0.973175,0.555633,NS,Concordant Down
NDUFB6,0.3527,-0.0302,0.709643,0.997818,0.748208,NS,HR↑ LR↓
SERPINA1,0.2313,-0.1513,0.859266,0.931589,0.71812,NS,HR↑ LR↓
LASP1,0.3748,-0.0078,0.607957,0.999848,0.710572,NS,HR↑ LR↓
NACA,0.1953,0.1872,0.772002,0.752541,0.999768,NS,Concordant Up
ERGIC1,-0.0355,0.3462,0.996523,0.497914,0.644603,NS,HR↓ LR↑
MYH2,0.346,-0.0352,0.784157,0.997675,0.806966,NS,HR↑ LR↓
NDUFV2,0.3327,-0.0483,0.503348,0.988985,0.525629,NS,HR↑ LR↓
GDI2,-0.2849,-0.0946,0.40207,0.921688,0.79135200000000006,NS,Concordant Down
HMGB2,-0.0146,0.3639,0.999713,0.726456,0.830178,NS,HR↓ LR↑
PNPO,-0.1286,-0.2493,0.932051,0.667007,0.955762,NS,Concordant Down
