pathway,pathway_label,database,nes_x,nes_y,padj_x,padj_y,significance,set_size
GOBP_RESPONSE_TO_ALCOHOL,Response To Alcohol,GO:BP,1.423,-1.133,0.3463,0.8221,NS,41
GOBP_NEGATIVE_REGULATION_OF_MAPK_CASCADE,Negative Regulation Of Mapk Cascade,GO:BP,-1.368,-1.186,0.4896,0.7962,NS,23
GOBP_SPINDLE_ASSEMBLY,Spindle Assembly,GO:BP,-1.201,1.351,0.6528,0.6285,NS,23
GOBP_GLYCOPROTEIN_METABOLIC_PROCESS,Glycoprotein Metabolic Process,GO:BP,-1.154,-1.398,0.6905,0.5612,NS,23
GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE_PROCESS,Negative Regulation Of Cell Cycle Process,GO:BP,-1.266,-1.28,0.5969,0.7174,NS,17
GOBP_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT,Endoplasmic Reticulum To Golgi Vesicle Med...,GO:BP,1.471,1.07,0.3104,0.8758,NS,41
GOBP_ENERGY_RESERVE_METABOLIC_PROCESS,Energy Reserve Metabolic Process,GO:BP,0.922,1.614,0.8869,0.3444,NS,31
GOBP_POSITIVE_REGULATION_OF_PROTEIN_SECRETION,Positive Regulation Of Protein Secretion,GO:BP,-1.363,1.172,0.4506,0.7984,NS,28
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Reactive Oxygen Species Pathway,Hallmark,0.916,-1.614,0.8353,0.1365,NS,23
GOBP_REGULATION_OF_POTASSIUM_ION_TRANSPORT,Regulation Of Potassium Ion Transport,GO:BP,-1.494,1.031,0.3387,0.8864,NS,16
GOBP_BRANCHED_CHAIN_AMINO_ACID_METABOLIC_PROCESS,Branched Chain Amino Acid Metabolic Process,GO:BP,1.449,1.075,0.3549,0.8758,NS,21
GOBP_ENDOSOMAL_TRANSPORT,Endosomal Transport,GO:BP,-1.233,1.29,0.5556,0.6263,NS,57
GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION,Actin Filament Depolymerization,GO:BP,-1.317,-1.206,0.5321,0.7643,NS,19
GOBP_GOLGI_ORGANIZATION,Golgi Organization,GO:BP,-1.485,-1.037,0.3217,0.8863,NS,27
GOBP_POSITIVE_REGULATION_OF_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY,Positive Regulation Of Pattern Recognition...,GO:BP,-1.491,-1.03,0.3538,0.8863,NS,15
GOBP_NEGATIVE_REGULATION_OF_CELL_GROWTH,Negative Regulation Of Cell Growth,GO:BP,-1.383,1.136,0.4896,0.8561,NS,15
GOBP_FATTY_ACID_METABOLIC_PROCESS,Fatty Acid Metabolic Process,GO:BP,1.414,1.104,0.2343,0.8221,NS,105
GOBP_PALLIUM_DEVELOPMENT,Pallium Development,GO:BP,-1.603,-0.912,0.2281,0.9617,NS,21
GOBP_NEGATIVE_REGULATION_OF_KINASE_ACTIVITY,Negative Regulation Of Kinase Activity,GO:BP,-0.898,-1.615,0.9119,0.355,NS,18
GOBP_PYRIMIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS,Pyrimidine Containing Compound Metabolic P...,GO:BP,-1.357,1.155,0.5198,0.8349,NS,15
HALLMARK_PEROXISOME,Peroxisome,Hallmark,1.354,1.157,0.3869,0.629,NS,37
GOBP_CARDIOCYTE_DIFFERENTIATION,Cardiocyte Differentiation,GO:BP,-1.573,0.936,0.2281,0.96,NS,27
GOBP_ACTIN_MEDIATED_CELL_CONTRACTION,Actin Mediated Cell Contraction,GO:BP,-1.443,1.065,0.3272,0.8758,NS,36
GOBP_REGULATION_OF_PROTEIN_IMPORT_INTO_NUCLEUS,Regulation Of Protein Import Into Nucleus,GO:BP,-0.875,-1.632,0.9338,0.3444,NS,15
GOBP_HEART_MORPHOGENESIS,Heart Morphogenesis,GO:BP,-1.764,0.742,0.1065,0.9998,NS,26
GOBP_PLATELET_AGGREGATION,Platelet Aggregation,GO:BP,-1.231,1.275,0.6314,0.7174,NS,20
GOBP_NEGATIVE_REGULATION_OF_PHOSPHORYLATION,Negative Regulation Of Phosphorylation,GO:BP,-0.989,-1.516,0.8367,0.4029,NS,23
GOBP_CALCIUM_ION_HOMEOSTASIS,Calcium Ion Homeostasis,GO:BP,-1.043,-1.455,0.7673,0.3574,NS,58
GOBP_ACTIN_FILAMENT_ORGANIZATION,Actin Filament Organization,GO:BP,-1.365,1.13,0.3198,0.7836,NS,87
GOBP_AUTOPHAGOSOME_ORGANIZATION,Autophagosome Organization,GO:BP,-0.807,-1.687,0.979,0.3444,NS,21
HALLMARK_IL2_STAT5_SIGNALING,IL2 Stat5 Signaling,Hallmark,-1.599,-0.894,0.1224,0.9554,NS,23
GOBP_MAINTENANCE_OF_LOCATION,Maintenance Of Location,GO:BP,-1.33,-1.162,0.4069,0.7731,NS,52
GOBP_FOCAL_ADHESION_ASSEMBLY,Focal Adhesion Assembly,GO:BP,-1.159,1.332,0.6905,0.6636,NS,17
GOBP_AMP_METABOLIC_PROCESS,Amp Metabolic Process,GO:BP,-1.056,-1.428,0.77,0.5847,NS,16
GOBP_CARBOHYDRATE_DERIVATIVE_CATABOLIC_PROCESS,Carbohydrate Derivative Catabolic Process,GO:BP,-1.097,-1.386,0.7216,0.43120000000000003,NS,61
GOBP_RESPONSE_TO_IONIZING_RADIATION,Response To Ionizing Radiation,GO:BP,-0.906,-1.575,0.8947,0.4031,NS,16
HALLMARK_MTORC1_SIGNALING,mTORC1 Signaling,Hallmark,1.14,-1.34,0.573,0.3108,NS,87
