pathway,pathway_label,database,NES_Training_HR,NES_Training_LR,padj_Training_HR,padj_Training_LR,significance,set_size
GOBP_PEPTIDE_TRANSPORT,Peptide Transport,GO:BP,-1.092,-1.082,0.7363,0.8514,NS,36
GOBP_RESPONSE_TO_KETONE,Response To Ketone,GO:BP,0.933,1.241,0.8919,0.702,NS,29
GOBP_TYPE_I_INTERFERON_PRODUCTION,Type I Interferon Production,GO:BP,-1.271,-0.903,0.5892,0.9625,NS,18
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_LOCALIZATION,Negative Regulation Of Protein Localization,GO:BP,-1.142,-1.029,0.6924,0.879,NS,37
GOBP_POSITIVE_REGULATION_OF_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE,Positive Regulation Of Production Of Molec...,GO:BP,-1.03,1.139,0.7859,0.8372,NS,16
GOBP_NEGATIVE_REGULATION_OF_SMALL_MOLECULE_METABOLIC_PROCESS,Negative Regulation Of Small Molecule Meta...,GO:BP,-1.056,-1.112,0.7645,0.8514,NS,23
GOBP_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY,Protein Localization To Cell Periphery,GO:BP,-0.705,1.463,0.9983,0.3147,NS,74
GOBP_REGULATION_OF_MICROTUBULE_BASED_PROCESS,Regulation Of Microtubule Based Process,GO:BP,-1.473,-0.694,0.2818,0.9994,NS,43
GOBP_SKIN_DEVELOPMENT,Skin Development,GO:BP,-1.314,-0.853,0.543,0.9731,NS,20
GOBP_MONOCARBOXYLIC_ACID_TRANSPORT,Monocarboxylic Acid Transport,GO:BP,1.147,1.018,0.6944,0.8887,NS,25
GOBP_MONOSACCHARIDE_BIOSYNTHETIC_PROCESS,Monosaccharide Biosynthetic Process,GO:BP,0.775,-1.386,0.9983,0.5228,NS,33
GOBP_REGULATION_OF_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION,Regulation Of Microtubule Polymerization O...,GO:BP,-1.46,0.7,0.3378,0.9994,NS,19
GOBP_CELL_CELL_JUNCTION_ORGANIZATION,Cell Cell Junction Organization,GO:BP,0.839,1.32,0.961,0.6363,NS,24
GOBP_AMIDE_TRANSPORT,Amide Transport,GO:BP,-0.992,-1.166,0.841,0.7617,NS,38
GOBP_REGULATION_OF_ACTIN_FILAMENT_LENGTH,Regulation Of Actin Filament Length,GO:BP,-1.404,-0.751,0.3875,0.9994,NS,29
GOBP_AMINO_ACID_BIOSYNTHETIC_PROCESS,Amino Acid Biosynthetic Process,GO:BP,1.09,1.063,0.7427,0.8646,NS,16
GOBP_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY,Regulation Of Protein Containing Complex A...,GO:BP,-1.396,-0.756,0.2853,0.9994,NS,85
GOBP_MITOTIC_NUCLEAR_DIVISION,Mitotic Nuclear Division,GO:BP,-1.15,0.998,0.6798,0.9186,NS,38
GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION,Regulation Of Mitotic Cell Cycle Phase Tra...,GO:BP,-1.107,-1.04,0.7287,0.879,NS,27
GOBP_CELL_RECOGNITION,Cell Recognition,GO:BP,0.755,1.392,0.9983,0.5783,NS,21
GOBP_AMIDE_BIOSYNTHETIC_PROCESS,Amide Biosynthetic Process,GO:BP,1.175,0.971,0.6483,0.9477,NS,40
GOBP_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION,Canonical Nf Kappab Signal Transduction,GO:BP,-1.222,0.924,0.5845,0.9625,NS,47
GOBP_NEGATIVE_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION,Negative Regulation Of Establishment Of Pr...,GO:BP,-0.721,-1.425,0.9983,0.5121,NS,23
GOBP_POSITIVE_REGULATION_OF_MACROAUTOPHAGY,Positive Regulation Of Macroautophagy,GO:BP,1.102,-1.044,0.7363,0.879,NS,22
GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,Cell Activation Involved In Immune Response,GO:BP,-0.671,1.47,0.9983,0.4529,NS,22
GOBP_REGULATION_OF_SMALL_MOLECULE_METABOLIC_PROCESS,Regulation Of Small Molecule Metabolic Pro...,GO:BP,-1.109,-1.028,0.7045,0.879,NS,66
GOBP_CELLULAR_RESPONSE_TO_TOXIC_SUBSTANCE,Cellular Response To Toxic Substance,GO:BP,0.781,-1.352,0.9983,0.5138,NS,50
GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_GROWTH,Positive Regulation Of Developmental Growth,GO:BP,-1.308,-0.825,0.5613,0.9813,NS,17
GOBP_VITAMIN_METABOLIC_PROCESS,Vitamin Metabolic Process,GO:BP,0.677,-1.455,0.9983,0.4868,NS,21
GOBP_NEGATIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION,Negative Regulation Of Cell Projection Org...,GO:BP,-1.543,0.589,0.2669,0.9994,NS,20
GOBP_RNA_SPLICING,RNA Splicing,GO:BP,-1.064,-1.067,0.747,0.8514,NS,60
GOBP_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,Regulation Of Immune Effector Process,GO:BP,-1.129,1.001,0.7023,0.904,NS,44
GOBP_REGULATION_OF_TUBE_SIZE,Regulation Of Tube Size,GO:BP,-0.929,-1.2,0.8895,0.7617,NS,17
GOBP_HORMONE_TRANSPORT,Hormone Transport,GO:BP,-1.057,-1.071,0.7596,0.8514,NS,40
GOBP_GOLGI_VESICLE_TRANSPORT,Golgi Vesicle Transport,GO:BP,1.123,1.004,0.6837,0.9058,NS,69
GOBP_REGULATION_OF_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,Regulation Of Generation Of Precursor Meta...,GO:BP,0.883,1.244,0.9517,0.6953,NS,38
GOBP_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION,Tumor Necrosis Factor Superfamily Cytokine...,GO:BP,-1.293,-0.833,0.5694,0.9731,NS,17
GOBP_MONOCARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS,Monocarboxylic Acid Biosynthetic Process,GO:BP,1.12,1.005,0.7045,0.9012,NS,41
GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE,Activation Of Innate Immune Response,GO:BP,-1.303,-0.82,0.4841,0.9994,NS,49
GOBP_REGULATED_EXOCYTOSIS,Regulated Exocytosis,GO:BP,-1.327,-0.795,0.5184,0.9927,NS,22
GOBP_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION,Regulation Of Myeloid Cell Differentiation,GO:BP,-0.874,-1.247,0.9423,0.7205,NS,18
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY,Positive Regulation Of Leukocyte Mediated ...,GO:BP,-1.169,0.951,0.6837,0.9514,NS,18
GOBP_EPITHELIAL_TUBE_MORPHOGENESIS,Epithelial Tube Morphogenesis,GO:BP,-1.164,0.955,0.6924,0.9514,NS,21
GOBP_PROTEINOGENIC_AMINO_ACID_METABOLIC_PROCESS,Proteinogenic Amino Acid Metabolic Process,GO:BP,1.435,0.683,0.3236,0.9994,NS,42
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY,Negative Regulation Of Protein Containing ...,GO:BP,-1.079,-1.039,0.7427,0.879,NS,36
GOBP_REGULATION_OF_MRNA_PROCESSING,Regulation Of Mrna Processing,GO:BP,-0.945,-1.173,0.8872,0.7843,NS,18
GOBP_VESICLE_MEDIATED_TRANSPORT_TO_THE_PLASMA_MEMBRANE,Vesicle Mediated Transport To The Plasma M...,GO:BP,-0.872,1.244,0.9541,0.6972,NS,28
GOBP_REGULATION_OF_MITOCHONDRION_ORGANIZATION,Regulation Of Mitochondrion Organization,GO:BP,1.151,0.962,0.6803,0.9514,NS,34
GOBP_RESPONSE_TO_VIRUS,Response To Virus,GO:BP,-1.27,0.841,0.5333,0.9855,NS,39
GOBP_CELLULAR_RESPONSE_TO_CORTICOSTEROID_STIMULUS,Cellular Response To Corticosteroid Stimulus,GO:BP,1.008,1.1,0.825,0.8514,NS,15
GOBP_CHAPERONE_MEDIATED_PROTEIN_FOLDING,Chaperone Mediated Protein Folding,GO:BP,0.812,1.295,0.9983,0.6204,NS,39
HALLMARK_KRAS_SIGNALING_UP,KRAS Signaling Up,Hallmark,-0.851,-1.256,0.8461,0.5731,NS,16
GOBP_RESPONSE_TO_ACID_CHEMICAL,Response To Acid Chemical,GO:BP,-0.924,1.182,0.8953,0.7617,NS,27
GOBP_STEROL_BIOSYNTHETIC_PROCESS,Sterol Biosynthetic Process,GO:BP,-1.185,-0.921,0.6798,0.9541,NS,15
GOBP_MONOSACCHARIDE_METABOLIC_PROCESS,Monosaccharide Metabolic Process,GO:BP,1.052,-1.053,0.7497,0.8514,NS,81
GOBP_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_PERMEABILITY,Regulation Of Mitochondrial Membrane Perme...,GO:BP,1.458,0.645,0.3625,0.9994,NS,16
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Unfolded Protein Response,Hallmark,-0.861,1.241,0.8461,0.5731,NS,34
GOBP_POSITIVE_REGULATION_OF_PLASMA_MEMBRANE_BOUNDED_CELL_PROJECTION_ASSEMBLY,Positive Regulation Of Plasma Membrane Bou...,GO:BP,0.775,1.327,0.9983,0.6429,NS,18
GOBP_REGULATION_OF_CELL_MATRIX_ADHESION,Regulation Of Cell Matrix Adhesion,GO:BP,-0.719,1.383,0.9983,0.5847,NS,21
GOBP_AMYLOID_FIBRIL_FORMATION,Amyloid Fibril Formation,GO:BP,-1.213,-0.888,0.6483,0.9625,NS,18
GOBP_CELLULAR_RESPONSE_TO_KETONE,Cellular Response To Ketone,GO:BP,0.942,1.159,0.8872,0.8018,NS,19
GOBP_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,Extrinsic Apoptotic Signaling Pathway,GO:BP,-1.222,-0.879,0.6105,0.9731,NS,30
GOBP_LAMELLIPODIUM_ASSEMBLY,Lamellipodium Assembly,GO:BP,-1.141,0.96,0.7106,0.9477,NS,15
GOBP_CHROMOSOME_LOCALIZATION,Chromosome Localization,GO:BP,0.787,1.313,0.9983,0.6423,NS,22
GOBP_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS,Glutamine Family Amino Acid Metabolic Process,GO:BP,1.041,1.058,0.782,0.8707,NS,17
GOBP_POSITIVE_REGULATION_OF_PROTEOLYSIS,Positive Regulation Of Proteolysis,GO:BP,-1.061,-1.037,0.7547,0.879,NS,47
GOBP_REGULATION_OF_FATTY_ACID_METABOLIC_PROCESS,Regulation Of Fatty Acid Metabolic Process,GO:BP,-1.162,-0.934,0.6924,0.9514,NS,18
GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME,Regulation Of Mrna Splicing Via Spliceosome,GO:BP,-0.93,-1.166,0.888,0.7945,NS,17
GOBP_PURINE_NUCLEOTIDE_CATABOLIC_PROCESS,Purine Nucleotide Catabolic Process,GO:BP,-0.862,-1.233,0.961,0.6875,NS,48
GOBP_CELLULAR_RESPONSE_TO_ACID_CHEMICAL,Cellular Response To Acid Chemical,GO:BP,-0.846,1.247,0.9542,0.7206,NS,18
GOBP_GLUCOSE_METABOLIC_PROCESS,Glucose Metabolic Process,GO:BP,1.111,-0.981,0.703,0.9393,NS,63
GOBP_AUTOPHAGY_OF_MITOCHONDRION,Autophagy Of Mitochondrion,GO:BP,0.944,-1.147,0.888,0.7945,NS,30
GOBP_POSITIVE_REGULATION_OF_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,Positive Regulation Of Post Translational ...,GO:BP,-1.183,-0.908,0.6483,0.9625,NS,29
GOBP_POSITIVE_REGULATION_OF_GROWTH,Positive Regulation Of Growth,GO:BP,-1.226,-0.864,0.6067,0.9731,NS,30
GOBP_NEGATIVE_REGULATION_OF_MRNA_CATABOLIC_PROCESS,Negative Regulation Of Mrna Catabolic Process,GO:BP,-1.257,0.832,0.6048,0.9736,NS,17
GOBP_RHO_PROTEIN_SIGNAL_TRANSDUCTION,Rho Protein Signal Transduction,GO:BP,-1.465,0.624,0.3392,0.9994,NS,18
GOBP_DNA_REPLICATION,DNA Replication,GO:BP,-1.155,0.933,0.7041,0.9514,NS,19
GOBP_RRNA_PROCESSING,Rrna Processing,GO:BP,-0.954,-1.132,0.8872,0.8249,NS,27
GOBP_DOUBLE_STRAND_BREAK_REPAIR,Double Strand Break Repair,GO:BP,-1.443,0.64,0.3392,0.9994,NS,26
GOBP_RESPONSE_TO_METAL_ION,Response To Metal Ion,GO:BP,-0.974,-1.109,0.8763,0.7843,NS,85
GOBP_XENOBIOTIC_METABOLIC_PROCESS,Xenobiotic Metabolic Process,GO:BP,-0.91,-1.173,0.8925,0.7843,NS,17
GOBP_ENSHEATHMENT_OF_NEURONS,Ensheathment Of Neurons,GO:BP,-1.068,1.012,0.758,0.8979,NS,22
GOBP_NEGATIVE_REGULATION_OF_MONOATOMIC_ION_TRANSPORT,Negative Regulation Of Monoatomic Ion Tran...,GO:BP,-1.037,-1.043,0.7815,0.879,NS,23
GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT,In Utero Embryonic Development,GO:BP,-1.207,-0.871,0.6105,0.9731,NS,40
GOBP_MICROTUBULE_POLYMERIZATION,Microtubule Polymerization,GO:BP,-1.343,-0.735,0.5042,0.9994,NS,21
GOBP_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY,Regulation Of Actin Filament Bundle Assembly,GO:BP,-1.219,0.857,0.6426,0.9731,NS,20
GOBP_NEGATIVE_REGULATION_OF_RNA_CATABOLIC_PROCESS,Negative Regulation Of RNA Catabolic Process,GO:BP,-0.998,1.076,0.841,0.8514,NS,20
GOBP_REGULATION_OF_MEMBRANE_PERMEABILITY,Regulation Of Membrane Permeability,GO:BP,1.429,0.645,0.4077,0.9994,NS,17
GOBP_SCHWANN_CELL_DIFFERENTIATION,Schwann Cell Differentiation,GO:BP,-1.186,0.886,0.6798,0.9625,NS,16
HALLMARK_PROTEIN_SECRETION,Protein Secretion,Hallmark,-1.05,1.022,0.7129,0.9104,NS,37
GOBP_POSITIVE_REGULATION_OF_SECRETION,Positive Regulation Of Secretion,GO:BP,-1.127,0.943,0.6944,0.9514,NS,49
GOBP_REGULATION_OF_CIRCADIAN_RHYTHM,Regulation Of Circadian Rhythm,GO:BP,-1.264,0.805,0.5924,0.9867,NS,18
GOBP_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS,Regulation Of Nitric Oxide Metabolic Process,GO:BP,-1.2,0.865,0.6624,0.9686,NS,15
GOBP_ORGANIC_ACID_TRANSMEMBRANE_TRANSPORT,Organic Acid Transmembrane Transport,GO:BP,1.284,-0.78,0.5619,0.9994,NS,22
HALLMARK_COMPLEMENT,Complement,Hallmark,-1.358,-0.706,0.3786,0.9928,NS,39
GOBP_CELLULAR_RESPONSE_TO_NUTRIENT_LEVELS,Cellular Response To Nutrient Levels,GO:BP,-1.242,0.821,0.5694,0.9904,NS,39
GOBP_SPROUTING_ANGIOGENESIS,Sprouting Angiogenesis,GO:BP,-0.716,1.346,0.9983,0.639,NS,15
GOBP_PHAGOCYTOSIS,Phagocytosis,GO:BP,0.962,1.099,0.8864,0.8514,NS,29
GOBP_PHOSPHATIDYLINOSITOL_3_KINASE_PROTEIN_KINASE_B_SIGNAL_TRANSDUCTION,Phosphatidylinositol 3 Kinase Protein Kina...,GO:BP,-1.065,-0.992,0.7531,0.9186,NS,33
GOBP_PROTEIN_PROCESSING,Protein Processing,GO:BP,-1.203,-0.854,0.6426,0.9731,NS,29
GOBP_REGULATION_OF_THE_FORCE_OF_HEART_CONTRACTION,Regulation Of The Force Of Heart Contraction,GO:BP,-1.109,0.948,0.7363,0.9514,NS,15
GOBP_REGULATION_OF_CELL_PROJECTION_ASSEMBLY,Regulation Of Cell Projection Assembly,GO:BP,-0.866,1.19,0.9542,0.7545,NS,30
GOBP_POSITIVE_REGULATION_OF_AUTOPHAGY,Positive Regulation Of Autophagy,GO:BP,0.987,-1.068,0.8519,0.8514,NS,31
GOBP_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING,Substrate Adhesion Dependent Cell Spreading,GO:BP,-0.974,1.081,0.8575,0.8514,NS,23
GOBP_ERBB_SIGNALING_PATHWAY,Erbb Signaling Pathway,GO:BP,-1.182,-0.872,0.6798,0.9686,NS,20
GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY,Integrin Mediated Signaling Pathway,GO:BP,-0.673,1.379,0.9983,0.588,NS,21
GOBP_RESPONSE_TO_TUMOR_NECROSIS_FACTOR,Response To Tumor Necrosis Factor,GO:BP,-1.462,-0.588,0.3301,0.9994,NS,27
GOBP_FATTY_ACID_BIOSYNTHETIC_PROCESS,Fatty Acid Biosynthetic Process,GO:BP,0.949,1.1,0.888,0.8514,NS,35
GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,Intrinsic Apoptotic Signaling Pathway,GO:BP,-0.921,1.128,0.9145,0.7945,NS,62
GOBP_POSITIVE_REGULATION_OF_MAPK_CASCADE,Positive Regulation Of Mapk Cascade,GO:BP,-0.815,1.234,0.9983,0.7146,NS,33
GOBP_ALPHA_BETA_T_CELL_ACTIVATION,Alpha Beta T Cell Activation,GO:BP,0.748,1.3,0.9983,0.6875,NS,16
GOBP_REGULATION_OF_CATION_CHANNEL_ACTIVITY,Regulation Of Cation Channel Activity,GO:BP,0.854,-1.194,0.9541,0.7809,NS,15
GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS,Positive Regulation Of Protein Localizatio...,GO:BP,0.635,-1.411,0.9983,0.5138,NS,24
GOBP_REGULATION_OF_NEURON_DIFFERENTIATION,Regulation Of Neuron Differentiation,GO:BP,-1.362,-0.684,0.5001,0.9994,NS,16
GOBP_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,Response To Endoplasmic Reticulum Stress,GO:BP,-0.8,-1.246,0.9983,0.6204,NS,63
GOBP_RESPONSE_TO_CALCIUM_ION,Response To Calcium Ion,GO:BP,-1.105,-0.939,0.7318,0.9514,NS,35
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION,Positive Regulation Of Leukocyte Prolifera...,GO:BP,0.938,-1.104,0.8872,0.8514,NS,15
GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS,Cellular Response To Biotic Stimulus,GO:BP,-1.37,0.67,0.4479,0.9994,NS,26
GOBP_GLYCEROPHOSPHOLIPID_BIOSYNTHETIC_PROCESS,Glycerophospholipid Biosynthetic Process,GO:BP,-1.065,-0.974,0.7589,0.9442,NS,15
GOBP_ORGANOPHOSPHATE_CATABOLIC_PROCESS,Organophosphate Catabolic Process,GO:BP,-1.008,-1.031,0.825,0.879,NS,63
GOBP_POSITIVE_REGULATION_OF_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS,Positive Regulation Of Proteasomal Protein...,GO:BP,-1.024,-1.015,0.7974,0.8835,NS,31
GOBP_POSITIVE_REGULATION_OF_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,Positive Regulation Of Proteasomal Ubiquit...,GO:BP,-0.879,-1.157,0.9386,0.8013,NS,20
GOBP_NEGATIVE_REGULATION_OF_CATABOLIC_PROCESS,Negative Regulation Of Catabolic Process,GO:BP,-1.158,0.877,0.6426,0.9731,NS,74
GOBP_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY,Positive Regulation Of Actin Filament Bund...,GO:BP,-1.477,0.558,0.3378,0.9994,NS,16
GOBP_PROTEIN_REFOLDING,Protein Refolding,GO:BP,0.784,1.251,0.9983,0.7225,NS,15
GOBP_POTASSIUM_ION_TRANSPORT,Potassium Ion Transport,GO:BP,-1.046,0.988,0.7745,0.9228,NS,26
GOBP_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS,Regulation Of Protein Catabolic Process,GO:BP,-1.032,-1.002,0.7771,0.904,NS,84
GOBP_ORGANIC_ACID_TRANSPORT,Organic Acid Transport,GO:BP,1.281,0.752,0.5221,0.9994,NS,38
GOBP_RENAL_SYSTEM_DEVELOPMENT,Renal System Development,GO:BP,-0.558,-1.474,0.9983,0.4408,NS,22
GOBP_APOPTOTIC_MITOCHONDRIAL_CHANGES,Apoptotic Mitochondrial Changes,GO:BP,1.32,-0.711,0.4807,0.9994,NS,35
GOBP_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT,Regulation Of Neuron Projection Development,GO:BP,-1.074,0.952,0.7456,0.9514,NS,46
GOBP_POSITIVE_REGULATION_OF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY,Positive Regulation Of DNA Binding Transcr...,GO:BP,-0.688,-1.336,0.9983,0.6378,NS,17
GOBP_NADH_METABOLIC_PROCESS,NADH Metabolic Process,GO:BP,1.118,-0.904,0.7176,0.9625,NS,26
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION,Antigen Processing And Presentation,GO:BP,-1.329,0.692,0.5184,0.9994,NS,20
GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN,Response To Molecule Of Bacterial Origin,GO:BP,-1.382,0.639,0.3863,0.9994,NS,39
GOBP_REGULATION_OF_ACTIN_FILAMENT_POLYMERIZATION,Regulation Of Actin Filament Polymerization,GO:BP,-1.252,0.764,0.5904,0.9994,NS,24
GOBP_POSITIVE_REGULATION_OF_PROTEIN_POLYMERIZATION,Positive Regulation Of Protein Polymerization,GO:BP,-1.34,0.674,0.5184,0.9994,NS,18
GOBP_PROTEIN_HOMOOLIGOMERIZATION,Protein Homooligomerization,GO:BP,1.198,0.816,0.6396,0.9922,NS,34
GOBP_AMINE_METABOLIC_PROCESS,Amine Metabolic Process,GO:BP,1.144,-0.869,0.7045,0.9686,NS,15
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ORGANELLE,Establishment Of Protein Localization To O...,GO:BP,1.163,-0.849,0.5924,0.9994,NS,104
GOBP_ISOPRENOID_METABOLIC_PROCESS,Isoprenoid Metabolic Process,GO:BP,-0.703,-1.309,0.9983,0.6784,NS,19
GOBP_NUCLEAR_MEMBRANE_ORGANIZATION,Nuclear Membrane Organization,GO:BP,-1.047,-0.965,0.7745,0.9442,NS,15
GOBP_REGULATION_OF_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS,Regulation Of Proteasomal Protein Cataboli...,GO:BP,-0.907,-1.103,0.9386,0.8249,NS,57
GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_NEUROTRANSMITTER_RECEPTOR_LEVELS,Regulation Of Postsynaptic Membrane Neurot...,GO:BP,0.795,1.214,0.9932,0.7553,NS,16
GOBP_NEURON_PROJECTION_EXTENSION,Neuron Projection Extension,GO:BP,-1.353,0.654,0.5031,0.9994,NS,19
GOBP_REGULATION_OF_HEMOPOIESIS,Regulation Of Hemopoiesis,GO:BP,-0.933,-1.074,0.8919,0.8514,NS,32
GOBP_RIBOSOME_ASSEMBLY,Ribosome Assembly,GO:BP,0.657,-1.35,0.9983,0.6175,NS,22
GOBP_REGULATION_OF_DNA_REPAIR,Regulation Of DNA Repair,GO:BP,-1.351,0.654,0.4841,0.9994,NS,24
GOBP_CELLULAR_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN,Cellular Response To Topologically Incorre...,GO:BP,-0.95,-1.054,0.8872,0.8707,NS,24
GOBP_EMBRYONIC_ORGAN_DEVELOPMENT,Embryonic Organ Development,GO:BP,-1.337,-0.667,0.5184,0.9994,NS,20
GOBP_ORGAN_GROWTH,Organ Growth,GO:BP,-1.267,-0.737,0.5924,0.9994,NS,18
GOBP_POSITIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS,Positive Regulation Of Mrna Metabolic Process,GO:BP,-1.014,-0.989,0.8241,0.9228,NS,19
GOBP_RESPONSE_TO_OXIDATIVE_STRESS,Response To Oxidative Stress,GO:BP,0.648,-1.355,0.9983,0.3695,NS,93
GOBP_HYDROGEN_PEROXIDE_METABOLIC_PROCESS,Hydrogen Peroxide Metabolic Process,GO:BP,0.659,-1.343,0.9983,0.6285,NS,19
GOBP_REGULATION_OF_LIPID_TRANSPORT,Regulation Of Lipid Transport,GO:BP,-1.023,0.977,0.7974,0.9328,NS,18
GOBP_HEMOSTASIS,Hemostasis,GO:BP,-1.098,0.9,0.7363,0.9639,NS,39
GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY,Immune Response Regulating Cell Surface Re...,GO:BP,-0.805,1.191,0.9983,0.7545,NS,27
GOBP_POSITIVE_REGULATION_OF_PROTEIN_TRANSPORT,Positive Regulation Of Protein Transport,GO:BP,-1.079,0.917,0.7427,0.9625,NS,48
GOBP_RESPONSE_TO_STARVATION,Response To Starvation,GO:BP,-1.246,0.75,0.5693,0.9994,NS,39
GOBP_REGULATION_OF_ACTOMYOSIN_STRUCTURE_ORGANIZATION,Regulation Of Actomyosin Structure Organiz...,GO:BP,-0.887,1.107,0.9304,0.8514,NS,16
GOBP_REGULATION_OF_CARBOHYDRATE_BIOSYNTHETIC_PROCESS,Regulation Of Carbohydrate Biosynthetic Pr...,GO:BP,0.968,1.026,0.8634,0.879,NS,20
GOBP_ANATOMICAL_STRUCTURE_MATURATION,Anatomical Structure Maturation,GO:BP,-0.652,1.337,0.9983,0.6429,NS,15
GOBP_RECEPTOR_INTERNALIZATION,Receptor Internalization,GO:BP,1.063,0.923,0.7609,0.956,NS,22
GOBP_NEGATIVE_REGULATION_OF_LOCOMOTION,Negative Regulation Of Locomotion,GO:BP,0.803,1.182,0.9983,0.7545,NS,44
GOBP_POSITIVE_REGULATION_OF_CELL_DEVELOPMENT,Positive Regulation Of Cell Development,GO:BP,-1.067,-0.917,0.7456,0.9625,NS,44
GOBP_REACTIVE_NITROGEN_SPECIES_METABOLIC_PROCESS,Reactive Nitrogen Species Metabolic Process,GO:BP,-1.036,-0.948,0.7833,0.9514,NS,21
GOBP_REGULATION_OF_SODIUM_ION_TRANSPORT,Regulation Of Sodium Ion Transport,GO:BP,-0.892,-1.092,0.9179,0.8514,NS,17
GOBP_REGULATION_OF_TRANSLATION,Regulation Of Translation,GO:BP,1.07,0.913,0.7363,0.9731,NS,93
HALLMARK_BILE_ACID_METABOLISM,Bile Acid Metabolism,Hallmark,-1.068,0.915,0.7129,0.9162,NS,21
GOBP_REGULATION_OF_CELL_SIZE,Regulation Of Cell Size,GO:BP,-1.187,-0.795,0.6483,0.9932,NS,27
GOBP_TRNA_METABOLIC_PROCESS,Trna Metabolic Process,GO:BP,0.727,1.254,0.9983,0.6875,NS,39
GOBP_NEGATIVE_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY,Negative Regulation Of Apoptotic Signaling...,GO:BP,1.049,0.931,0.7645,0.956,NS,48
GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY,Regulation Of Protein Localization To Cell...,GO:BP,0.67,1.309,0.9983,0.6204,NS,35
GOBP_POSITIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE,Positive Regulation Of Adaptive Immune Res...,GO:BP,-0.829,1.149,0.961,0.8249,NS,15
GOBP_LEUKOCYTE_MEDIATED_CYTOTOXICITY,Leukocyte Mediated Cytotoxicity,GO:BP,-1.202,0.775,0.6522,0.9994,NS,20
GOBP_POSITIVE_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY,Positive Regulation Of Apoptotic Signaling...,GO:BP,-1.206,-0.77,0.6426,0.9994,NS,24
GOBP_RESPONSE_TO_OSMOTIC_STRESS,Response To Osmotic Stress,GO:BP,1.16,-0.811,0.6917,0.9855,NS,19
