"engine","module","trait","model","n","beta_std","r2","p","p_bh"
"mfuzz","c4","comp_hypertrophy","tracks",16,0.357017632687763,0.267488299426429,0.0284849317288694,0.585796459092599
"mfuzz","c4","d_1rm_ext","acute",14,0.120835079896007,0.0146011165334743,0.680717784125143,0.998961668261752
"mfuzz","c4","d_1rm_ext","baseline",14,-0.159448138871058,0.0254237089894442,0.586110394856776,0.998961668261752
"mfuzz","c4","d_1rm_ext","tracks",15,0.113136843784335,0.148992781680739,0.528196299277508,0.998961668261752
"mfuzz","c4","d_1rm_legpress","acute",15,-0.0619464498081295,0.00383736264383111,0.826406172418762,0.998961668261752
"mfuzz","c4","d_1rm_legpress","baseline",15,0.229025175682988,0.0524525310966235,0.411613485908455,0.998961668261752
"mfuzz","c4","d_1rm_legpress","tracks",16,0.11582965071965,0.155067766709589,0.513474049069733,0.998961668261752
"mfuzz","c4","d_fcsa_I","acute",15,0.519397734742662,0.269774006855808,0.0472280333481053,0.585796459092599
"mfuzz","c4","d_fcsa_I","baseline",15,0.308967839821339,0.0954611260438646,0.262496480090882,0.800190882857687
"mfuzz","c4","d_fcsa_I","tracks",16,0.172876810127399,0.171569552341646,0.324988312444609,0.914899815315483
"mfuzz","c4","d_fcsa_II","acute",15,0.511538453854154,0.261671589771499,0.0512856327661656,0.585796459092599
"mfuzz","c4","d_fcsa_II","baseline",15,0.196072290962582,0.0384443432833153,0.483708869690703,0.998961668261752
"mfuzz","c4","d_fcsa_II","tracks",16,0.158205288955077,0.166710686360384,0.369156908933196,0.982685292794
"mfuzz","c4","d_mcsa","acute",15,0.420884977513933,0.177144164296904,0.11822354990832,0.592213702791083
"mfuzz","c4","d_mcsa","baseline",15,0.425911508934739,0.181400613443066,0.113437738877011,0.592213702791083
"mfuzz","c4","d_mcsa","tracks",16,0.419184688607323,0.314502330944748,0.00668783896638388,0.343706750293274
"mfuzz","c4","d_myovision_fcsa_I","acute",15,-0.462910222157286,0.214285873777708,0.082276736783831,0.585796459092599
