pathway,padj,NES,size,leadingEdge,database,pval,ES,log2err,contrast
GOBP_GLUCAN_METABOLIC_PROCESS,0.09815662234501814,-1.713805410842179,28,PPP1R3A;PYGM;PPP1R1A;EPM2A;GAA;STBD1;PPP1CB;PHKB;AGL;UGP2;PHKA1;AKT1;GBE1;GYS1;PYGL;PFKM;GYG1;AKT2;PYGB;GSK3B;ACADM,GO:BP,0.005652911249293386,-0.5049600454500378,0.32635161099090676,Acute_LR
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY,0.09895200735318255,1.7104317096422588,36,CLU;SNCA;SPTB;ADD1;CSNK1A1;TMOD1;PFN1;MTPN;SPTBN1,GO:BP,0.0058374494836102376,0.5463566387002946,0.23205681807560835,Acute_LR
GOBP_PROTEIN_DNA_COMPLEX_ORGANIZATION,0.09895200735318255,1.7649213944906004,14,NPM1;CAND1;PSMC6;HMGB2;H3-3A;SET;H2BC4;NAP1L4,GO:BP,0.0058882907133243605,0.6957098157489504,0.24518806365913484,Acute_LR
GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME,0.10262597375515738,1.7560674771408444,11,HNRNPA1;HNRNPUL1;HNRNPL;RBMX;HNRNPUL2;DDX17;HNRNPU;SFPQ;PTBP1,GO:BP,0.006216542911414264,0.7360576095525173,0.24169838609665498,Acute_LR
GOBP_PROTEIN_TARGETING_TO_MITOCHONDRION,0.10262597375515738,-1.64787030675968,40,TIMM8A;MTX1;PMPCB;FIS1;ROMO1;PRKAA1;HSPD1;TIMM50;TOMM70;BCAP31;AIFM1;DNAJC19;MTCH2;LMAN1;UBL5;MTX2;HSPA4;PIN1;TSPO;ARIH2;PMPCA;UBE2L3;TIMM21;UBE2D3;MFN2,GO:BP,0.006255864873318737,-0.44295255605229805,0.32635161099090676,Acute_LR
GOBP_NEUTROPHIL_CHEMOTAXIS,0.10271152296535052,1.747791013355486,12,S100A8;S100A9;MPP1;PPBP,GO:BP,0.006335616438356164,0.717424320148073,0.23835292164691088,Acute_LR
GOBP_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS,0.10689296740462632,1.7542749935932413,15,HNRNPA1;ADIPOQ;HNRNPC;TCP1;HNRNPD;PTGES3;CCT8;HNRNPU;CCT6A;CCT4,GO:BP,0.0066711140760507,0.6794363372387726,0.229089382980959,Acute_LR
GOBP_AEROBIC_RESPIRATION,0.11173330420940107,-1.4378986179649629,126,STOML2;NDUFA3;MDH1;ATP5F1B;NDUFB5;COQ9;NDUFS5;OGDH;UQCRH;ATP5PO;ATP5PD;IDH2;SDHA;ISCU;SUCLA2;NDUFA5;GHITM;PDHB;ACO2;ATP5F1C;SIRT3;IDH3B;NIPSNAP2;COX6C;NDUFA10;CYC1;ACO1;SUCLG1;IDH3G;NDUFC2;NDUFV1;ADSL;DLD;COA6;CHCHD10;CHCHD2;MTCH2;COX5A;NDUFS8;NDUFA9;UQCRC1;NDUFV3;SHMT2;NDUFB7;MT-ND5;UQCR11;UQCRC2;COX7C;RHOA;NDUFS7,GO:BP,0.00747328757196694,-0.3102431176060113,0.40701791892395395,Acute_LR
GOBP_CARBOHYDRATE_CATABOLIC_PROCESS,0.11173330420940107,-1.6180212627323265,55,PYGM;PRKAA2;MAN2C1;PRKACA;PRKAG1;OGDH;PGAM2;SCARB2;MPI;TPI1;PRKAA1;PGK1;LDHA;GAA;GPI;STBD1;AGL;HK1;PHKA1;GAPDH;DHTKD1;MTCH2;GPD1;PGM1;PYGL;FBP1;PKM;RBKS,GO:BP,0.00718048615988708,-0.4045651863454607,0.40701791892395395,Acute_LR
GOBP_GRANULOCYTE_CHEMOTAXIS,0.11173330420940107,1.736284988566428,14,S100A8;S100A9;MPP1;PPBP,GO:BP,0.007234185733512786,0.6844217047025272,0.22082346409111278,Acute_LR
