gene,logFC,neg_log10_p,pi_score,adj_pval,direction
CRADD,0.5312,0.595,0.482992,0.854034,NS
ERGIC1,-0.3463,0.9098,0.484093,0.710993,NS
SLC1A4,-0.501,0.6288,0.484137,0.831396,NS
SKP1,0.3053,1.0275,0.485693,0.665728,NS
NPEPL1,-0.343,0.9123,0.486542,0.710993,NS
EIF2S2,0.4201,0.7444,0.486671,0.787612,NS
CARM1,0.3927,0.7956,0.48705,0.76102,NS
H6PD,-0.399,0.781,0.487942,0.763876,NS
GPAT3,0.4224,0.7354,0.489036,0.787866,NS
MYH9,0.3492,0.8841,0.491223,0.723119,NS
RSU1,-0.2813,1.0938,0.492418,0.655786,NS
ECHDC1,-0.4361,0.7052,0.492595,0.801117,NS
TXN2,-0.378,0.81,0.494062,0.759943,NS
ATP6V1G1,0.3499,0.8728,0.49501,0.729689,NS
PSMC4,-0.2599,1.169,0.496866,0.621453,NS
TGM2,0.3665,0.8263,0.49797400000000003,0.759943,NS
COX20,-0.3959,0.7623,0.499115,0.776791,NS
MRPL37,-0.4413,0.6821,0.499996,0.812308,NS
CNBP,-0.2878,1.0429,0.501017,0.665728,NS
RCN2,-0.3369,0.8906,0.501134,0.715396,NS
IDI1,-0.33,0.9084,0.501462,0.710993,NS
HECTD1,0.3849,0.7777,0.501933,0.766086,NS
ATP2B4,0.3691,0.8047,0.504689,0.759943,NS
MDH1,-0.2492,1.1901,0.50521,0.616207,NS
RPLP0,0.3549,0.8318,0.506787,0.757825,NS
DDX19A,-0.2944,1.0024,0.506823,0.665728,NS
STT3B,0.3625,0.8105,0.50843,0.759943,NS
HSPB1,-0.2825,1.0356,0.50983,0.665728,NS
DDT,0.4324,0.6753,0.510474,0.812967,NS
MRPL47,0.347,0.8395,0.511387,0.753883,NS
MRPS17,0.3933,0.7403,0.511527,0.787866,NS
ATP5MF,0.3612,0.8045,0.512186,0.759943,NS
AKR1B1,-0.3516,0.8252,0.512682,0.759943,NS
PPP1R14B,-0.4856,0.5959,0.513621,0.854034,NS
HADHA,-0.2203,1.3124,0.51391,0.565917,NS
STK38L,-0.3612,0.7991,0.51443,0.760067,NS
SPG7,-0.4021,0.712,0.517237,0.797945,NS
CPT1A,0.4027,0.7089,0.51823,0.80021,NS
RDH13,-0.4476,0.6369,0.518698,0.823558,NS
COQ9,-0.2475,1.1384,0.5227,0.632908,NS
S100A11,0.5435,0.5177,0.523142,0.899186,NS
PPP2R2A,-0.2382,1.1811,0.523256,0.618241,NS
RPL10A,0.4476,0.6271,0.523988,0.831416,NS
PPIC,0.3418,0.8206,0.524188,0.759943,NS
