gene,logFC_Acute_HR,logFC_Acute_LR,pi_HR,pi_LR,pi_Interaction,significance,quadrant
ARPP19,0.5515,-0.0714,0.244728,0.983732,0.287957,NS,HR↑ LR↓
COL6A1,-0.3748,-0.2478,0.797651,0.909036,0.984339,NS,Concordant Down
CAMK2G,-0.3487,-0.2737,0.620541,0.71987,0.988057,NS,Concordant Down
UFM1,-0.1617,0.4604,0.899118,0.222791,0.183158,NS,HR↓ LR↑
IRGQ,-0.1796,-0.4412,0.896548,0.307872,0.83023,NS,Concordant Down
MYOM1,-0.4638,0.1563,0.535541,0.936935,0.42877,NS,HR↓ LR↑
EIF3E,0.4826,-0.1369,0.183432,0.902156,0.127416,NS,HR↑ LR↓
SDR39U1,0.2237,-0.3958,0.908635,0.666008,0.518663,NS,HR↑ LR↓
ADSS1,-0.557,-0.0611,0.06391,0.980273,0.255147,NS,Concordant Down
H1-0,0.4299,0.1867,0.736082,0.944647,0.938584,NS,Concordant Up
CST3,0.4593,0.1568,0.497375,0.922657,0.822481,NS,Concordant Up
SRPRB,0.2649,0.351,0.716692,0.452956,0.980016,NS,Concordant Up
DDX19A,-0.3147,-0.3008,0.518902,0.486289,0.999404,NS,Concordant Down
MMUT,-0.4015,-0.2116,0.252463,0.699745,0.852779,NS,Concordant Down
PLGRKT,-0.3236,0.2888,0.711259,0.728939,0.353169,NS,HR↓ LR↑
EIF1AX,0.4163,0.1952,0.546346,0.871435,0.900425,NS,Concordant Up
TTN,0.4084,0.2023,0.75133,0.929477,0.953806,NS,Concordant Up
NT5C2,-0.4626,-0.1479,0.466893,0.929528,0.798749,NS,Concordant Down
BROX,-0.2613,0.349,0.73251,0.523413,0.22672900000000001,NS,HR↓ LR↑
PYGM,-0.3364,-0.2738,0.266783,0.374773,0.980871,NS,Concordant Down
DBT,-0.1053,-0.5046,0.962804,0.203652,0.597554,NS,Concordant Down
AMPD3,0.1522,-0.4577,0.934021,0.361612,0.326598,NS,HR↑ LR↓
CAMK2D,0.4343,-0.1755,0.171938,0.786074,0.067159,NS,HR↑ LR↓
PLCL2,-0.1433,-0.4665,0.974606,0.609039,0.892181,NS,Concordant Down
MT-ND2,-0.1996,0.4094,0.898047,0.515277,0.38626,NS,HR↓ LR↑
NIF3L1,-0.5811,-0.0275,0.255888,0.9978,0.429999,NS,Concordant Down
GSTK1,-0.5018,-0.1066,0.129457,0.937316,0.467381,NS,Concordant Down
AGL,-0.4623,-0.146,0.103603,0.842851,0.551337,NS,Concordant Down
TNNI1,0.383,-0.2247,0.742754,0.896882,0.552122,NS,HR↑ LR↓
MYH2,0.3245,0.2829,0.810015,0.830927,0.99789,NS,Concordant Up
EHD2,0.2283,-0.3784,0.762046,0.329533,0.14805,NS,HR↑ LR↓
SUCLA2,-0.4302,-0.176,0.100512,0.72914,0.655183,NS,Concordant Down
ARMT1,-0.3224,0.2834,0.61921,0.645822,0.227806,NS,HR↓ LR↑
DYNC1LI2,-0.3073,0.2984,0.645447,0.61558,0.226866,NS,HR↓ LR↑
CHMP2A,0.2949,0.3093,0.636927,0.504033,0.999443,NS,Concordant Up
COX17,-0.4269,-0.1771,0.434771,0.877169,0.845872,NS,Concordant Down
S100A1,0.2874,-0.3165,0.850606,0.787573,0.54666,NS,HR↑ LR↓
TXN,0.2045,0.3992,0.820327,0.30712,0.882379,NS,Concordant Up
HCCS,-0.5594,0.0435,0.234281,0.993152,0.286784,NS,HR↓ LR↑
ECHDC3,-0.4351,0.1673,0.578759,0.915149,0.423927,NS,HR↓ LR↑
EHD4,-0.257,0.3453,0.827604,0.722797,0.456303,NS,HR↓ LR↑
HSD17B8,-0.3458,-0.2552,0.649454,0.772376,0.983443,NS,Concordant Down
ENDOG,-0.5706,-0.03,0.299258,0.99763,0.485608,NS,Concordant Down
LPCAT3,0.2436,0.3561,0.844325,0.668087,0.978387,NS,Concordant Up
IDH3G,-0.4563,-0.1432,0.145325,0.864106,0.597289,NS,Concordant Down
PKIA,-0.4631,0.1361,0.393767,0.934099,0.310593,NS,HR↓ LR↑
ISOC2,-0.3443,-0.2536,0.523935,0.68301,0.976976,NS,Concordant Down
CAV2,0.4196,-0.1781,0.72998,0.944018,0.612017,NS,HR↑ LR↓
NDUFS7,-0.388,-0.2086,0.638858,0.876444,0.943685,NS,Concordant Down
BCAP29,-0.4204,0.1745,0.615692,0.899149,0.432674,NS,HR↓ LR↑
RRAS2,0.4314,-0.1633,0.558504,0.925941,0.431401,NS,HR↑ LR↓
WDR77,-0.4941,0.1004,0.426208,0.969914,0.396386,NS,HR↓ LR↑
IDH3B,-0.3992,-0.1943,0.245988,0.740138,0.823401,NS,Concordant Down
THOP1,-0.2662,0.3266,0.831475,0.701618,0.448433,NS,HR↓ LR↑
GSN,0.5411,-0.0515,0.247059,0.991174,0.310101,NS,HR↑ LR↓
ECHDC1,0.1549,-0.4356,0.944832,0.509347,0.454293,NS,HR↑ LR↓
FAM98A,-0.2117,-0.3776,0.887147,0.566755,0.949129,NS,Concordant Down
HLA-A,0.5407,-0.0485,0.312501,0.993205,0.380097,NS,HR↑ LR↓
DBI,-0.443,0.1455,0.517883,0.937917,0.415121,NS,HR↓ LR↑
TARS1,-0.2865,-0.3018,0.774646,0.681995,0.999573,NS,Concordant Down
RAB11B,0.5018,0.0864,0.155311,0.962732,0.455913,NS,Concordant Up
NTMT1,-0.21,-0.373,0.88734,0.587312,0.950954,NS,Concordant Down
KPNA1,0.1643,-0.4184,0.911996,0.371659,0.305063,NS,HR↑ LR↓
PFN1,0.1636,0.4186,0.862177,0.181384,0.751521,NS,Concordant Up
HNRNPU,0.2763,0.3057,0.799451,0.723049,0.998541,NS,Concordant Up
TOMM70,0.2832,-0.2981,0.749467,0.675617,0.344151,NS,HR↑ LR↓
GPX3,0.2305,0.3499,0.848648,0.623845,0.97257,NS,Concordant Up
DYNC1LI1,0.4477,0.1314,0.319036,0.933229,0.727725,NS,Concordant Up
RPS26,0.1238,-0.4551,0.96073,0.428118,0.420556,NS,HR↑ LR↓
UBAP2L,-0.0445,-0.5343,0.997168,0.56427,0.741256,NS,Concordant Down
MTPN,-0.0334,0.5453,0.996403,0.116925,0.261784,NS,HR↓ LR↑
RTN2,-0.1957,0.3822,0.888293,0.516067,0.373003,NS,HR↓ LR↑
PYGL,0.144,-0.4334,0.973731,0.714346,0.684877,NS,HR↑ LR↓
TSG101,0.2347,0.3427,0.789024,0.53249,0.970636,NS,Concordant Up
SPCS1,0.2897,-0.2876,0.757686,0.712017,0.381295,NS,HR↑ LR↓
CES2,0.0267,-0.5498,0.998069,0.204633,0.358481,NS,HR↑ LR↓
HSD17B4,-0.4948,-0.0812,0.328503,0.977079,0.60645,NS,Concordant Down
NTPCR,-0.478,0.0957,0.297106,0.966241,0.296454,NS,HR↓ LR↑
HYOU1,0.2605,0.3122,0.758522,0.582758,0.993679,NS,Concordant Up
PGLS,-0.1778,0.3946,0.875858,0.35375,0.246647,NS,HR↓ LR↑
PAFAH1B2,-0.2057,0.3659,0.860971,0.461944,0.31372,NS,HR↓ LR↑
ATP5PO,-0.36,-0.2104,0.217698,0.605817,0.880253,NS,Concordant Down
ADH1B,-0.417,0.15310000000000001,0.608514,0.938623,0.491984,NS,HR↓ LR↑
CAVIN4,0.3332,-0.2369,0.584844,0.746433,0.268522,NS,HR↑ LR↓
VPS35,0.2562,-0.3139,0.603992,0.361901,0.092228,NS,HR↑ LR↓
IARS1,-0.2052,-0.3646,0.811359,0.364011,0.918935,NS,Concordant Down
EHBP1L1,0.1822,-0.3875,0.887861,0.415841,0.308294,NS,HR↑ LR↓
NEK7,-0.3445,0.2252,0.64823,0.821414,0.379281,NS,HR↓ LR↑
SYNPO,-0.3188,-0.2508,0.753285,0.816277,0.992355,NS,Concordant Down
JSRP1,0.1263,-0.4427,0.947274,0.312903,0.311188,NS,HR↑ LR↓
OTUB1,0.3212,-0.2465,0.42938,0.579335,0.101841,NS,HR↑ LR↓
STK38L,0.2126,-0.3543,0.863637,0.539332,0.366271,NS,HR↑ LR↓
SIRT2,-0.3599,0.2067,0.716619,0.930688,0.608022,NS,HR↓ LR↑
SHMT1,-0.3607,0.2049,0.604825,0.841494,0.362909,NS,HR↓ LR↑
CARM1,-0.1737,0.3916,0.920999,0.506602,0.422608,NS,HR↓ LR↑
ATXN10,-0.4358,-0.1291,0.672446,0.960705,0.868986,NS,Concordant Down
HHATL,0.4252,-0.1396,0.520803,0.937872,0.415723,NS,HR↑ LR↓
RAP1A,-0.4043,-0.1604,0.603893,0.928392,0.892616,NS,Concordant Down
TBCB,-0.2657,-0.2974,0.73816,0.572645,0.997516,NS,Concordant Down
LETM1,-0.4217,0.1412,0.377598,0.911297,0.268018,NS,HR↓ LR↑
MAP2K2,-0.169,-0.3937,0.86865,0.342322,0.83754,NS,Concordant Down
SNTA1,-0.5349,-0.0275,0.124147,0.996691,0.295701,NS,Concordant Down
NUDC,0.2916,-0.2708,0.61954,0.626212,0.214633,NS,HR↑ LR↓
NT5C1A,-0.3124,-0.2495,0.649974,0.734275,0.990591,NS,Concordant Down
CLTB,-0.5474,-0.0142,0.426898,0.999529,0.562354,NS,Concordant Down
OPLAH,-0.2535,-0.3079,0.768006,0.617833,0.993124,NS,Concordant Down
MME,-0.3981,-0.1622,0.682496,0.94072,0.918309,NS,Concordant Down
MECR,-0.4022,-0.158,0.532388,0.909241,0.865403,NS,Concordant Down
ME1,-0.5393,0.0207,0.146001,0.998286,0.24564,NS,HR↓ LR↑
ARF4,-0.1249,-0.4349,0.936052,0.230888,0.697398,NS,Concordant Down
HINT3,-0.5065,0.0532,0.10696,0.98492,0.150667,NS,HR↓ LR↑
PACSIN3,0.4687,-0.0906,0.160896,0.953644,0.153683,NS,HR↑ LR↓
UBE2G1,-0.1696,-0.3895,0.945117,0.649009,0.930232,NS,Concordant Down
REEP5,0.3913,-0.1676,0.488766,0.885374,0.320438,NS,HR↑ LR↓
OSBPL11,-0.3245,-0.2343,0.685632,0.809598,0.983492,NS,Concordant Down
FECH,0.0985,-0.4602,0.965703,0.236978,0.285103,NS,HR↑ LR↓
PRKAA2,-0.2166,-0.3405,0.726982,0.311211,0.938724,NS,Concordant Down
TACO1,-0.49,-0.0668,0.214899,0.98048,0.484831,NS,Concordant Down
PHYKPL,-0.3492,-0.2072,0.588354,0.837939,0.952646,NS,Concordant Down
EPHX2,0.4178,-0.1368,0.63338,0.950028,0.527935,NS,HR↑ LR↓
RPS3,0.3417,0.2117,0.438643,0.726323,0.939625,NS,Concordant Up
PHPT1,-0.0511,-0.5022,0.992602,0.219051,0.53574600000000006,NS,Concordant Down
MAN2C1,-0.0959,-0.4574,0.973166,0.231842,0.674342,NS,Concordant Down
ANK2,-0.3341,-0.2188,0.450613,0.671802,0.950376,NS,Concordant Down
PRDX2,-0.0954,0.4574,0.964946,0.203665,0.254574,NS,HR↓ LR↑
ARF6,0.295,0.2576,0.800679,0.824943,0.997884,NS,Concordant Up
MPST,-0.214,0.3384,0.756148,0.358316,0.157772,NS,HR↓ LR↑
ACAD9,-0.304,0.2483,0.734413,0.77836,0.414942,NS,HR↓ LR↑
RPSA,0.2601,0.2917,0.793944,0.696422,0.998036,NS,Concordant Up
GART,-0.1558,0.3957,0.91223,0.462106,0.346283,NS,HR↓ LR↑
DCN,-0.0074,-0.5427,0.999842,0.148097,0.366095,NS,Concordant Down
CA14,-0.4778,0.0716,0.660806,0.992138,0.680361,NS,HR↓ LR↑
MIF,-0.0854,0.4626,0.985716,0.501534,0.558117,NS,HR↓ LR↑
STT3B,-0.1709,0.3769,0.904015,0.482381,0.368281,NS,HR↓ LR↑
PPP1R14B,0.0654,-0.4823,0.992528,0.530868,0.604521,NS,HR↑ LR↓
HSPG2,-0.1262,-0.4209,0.959147,0.474661,0.827397,NS,Concordant Down
CSRP3,0.1813,-0.3657,0.886124,0.477245,0.341569,NS,HR↑ LR↓
BZW2,-0.524,0.0211,0.133785,0.998062,0.229555,NS,HR↓ LR↑
PSMF1,-0.1276,0.417,0.952355,0.440182,0.41279,NS,HR↓ LR↑
KCTD12,0.4365,0.1081,0.566518,0.965564,0.801979,NS,Concordant Up
HIKESHI,-0.2217,-0.3221,0.872401,0.669565,0.981545,NS,Concordant Down
TMEM14C,0.3805,0.1632,0.783764,0.95171,0.947111,NS,Concordant Up
GCLM,0.0094,0.5343,0.999744,0.159414,0.383382,NS,Concordant Up
PRKACA,0.205,-0.3386,0.776319,0.357304,0.169118,NS,HR↑ LR↓
STAT5B,-0.4731,0.0701,0.368655,0.98427,0.401718,NS,HR↓ LR↑
HSPA5,0.4716,0.0715,0.096248,0.966572,0.355867,NS,Concordant Up
ABCF1,0.0874,0.4557,0.982005,0.42608,0.744864,NS,Concordant Up
METTL7A,-0.5187,-0.0234,0.211059,0.997966,0.393447,NS,Concordant Down
TPM2,-0.009,0.5329,0.999864,0.432127,0.607236,NS,HR↓ LR↑
PPCS,0.1629,0.379,0.927061,0.538565,0.903598,NS,Concordant Up
RPS25,0.4239,0.1175,0.393438,0.942596,0.742293,NS,Concordant Up
SND1,0.0576,-0.4837,0.994787,0.54912,0.640309,NS,HR↑ LR↓
MAPT,0.4736,-0.0676,0.244942,0.980049,0.27218,NS,HR↑ LR↓
AUH,-0.4692,-0.0713,0.200816,0.975679,0.49272,NS,Concordant Down
COPS4,-0.2988,-0.2402,0.436579,0.549891,0.985345,NS,Concordant Down
CAPN2,0.2185,-0.32,0.814386,0.544942,0.310262,NS,HR↑ LR↓
TPM4,0.5274,0.0108,0.484901,0.999752,0.612468,NS,Concordant Up
PSMB2,-0.2748,0.2632,0.542348,0.508235,0.120238,NS,HR↓ LR↑
RPL38,0.1289,0.4089,0.956705,0.492122,0.841889,NS,Concordant Up
ROMO1,-0.0016,-0.5361,0.999996,0.310694,0.593381,NS,Concordant Down
DPYSL2,0.2381,-0.2992,0.757815,0.561449,0.271608,NS,HR↑ LR↓
PPA2,-0.3484,-0.1878,0.511453,0.826115,0.923229,NS,Concordant Down
LANCL1,0.2149,-0.3208,0.81848,0.538439,0.309721,NS,HR↑ LR↓
NPEPL1,-0.1847,-0.3507,0.871011,0.476256,0.925115,NS,Concordant Down
ACADSB,-0.3582,-0.1767,0.516649,0.856921,0.907298,NS,Concordant Down
ATP6V1G1,-0.1758,0.359,0.88622,0.481924,0.342473,NS,HR↓ LR↑
NEB,0.3685,0.1663,0.806202,0.955234,0.957675,NS,Concordant Up
VPS4A,-0.479,0.0557,0.258121,0.987171,0.302949,NS,HR↓ LR↑
HBS1L,-0.4233,-0.1114,0.247664,0.931503,0.643039,NS,Concordant Down
XPO1,0.1546,-0.3799,0.935493,0.523608,0.456097,NS,HR↑ LR↓
BLVRA,-0.2936,0.2409,0.49364,0.585044,0.129209,NS,HR↓ LR↑
YWHAH,0.3121,-0.222,0.532031,0.710278,0.209841,NS,HR↑ LR↓
NEXN,0.4584,-0.0753,0.527613,0.987214,0.555137,NS,HR↑ LR↓
MPDU1,0.2539,-0.2795,0.854283,0.7534,0.528786,NS,HR↑ LR↓
AHSA1,0.4786,-0.0548,0.443095,0.991952,0.493939,NS,HR↑ LR↓
SLC25A6,-0.5221,0.0109,0.107504,0.999448,0.211231,NS,HR↓ LR↑
ACOT13,-0.4067,-0.126,0.335178,0.917766,0.734862,NS,Concordant Down
CTBP1,0.4736,-0.058,0.415671,0.991139,0.482876,NS,HR↑ LR↓
GANAB,0.3792,-0.1524,0.528811,0.909402,0.379954,NS,HR↑ LR↓
CISD2,-0.3677,-0.1632,0.706759,0.926289,0.931006,NS,Concordant Down
BSG,-0.404,-0.1265,0.167329,0.874741,0.620432,NS,Concordant Down
OCIAD1,-0.3614,-0.1687,0.615674,0.901983,0.919945,NS,Concordant Down
DDX19B,0.285,0.2448,0.910222,0.912528,0.998686,NS,Concordant Up
MT-ND1,-0.404,0.1254,0.593974,0.955222,0.509637,NS,HR↓ LR↑
COL15A1,0.3016,-0.227,0.793473,0.883943,0.587466,NS,HR↑ LR↓
DMAC2L,-0.1405,-0.3874,0.946737,0.483258,0.869261,NS,Concordant Down
QKI,0.2552,0.2726,0.711618,0.656706,0.999219,NS,Concordant Up
RPS14,0.0411,-0.4858,0.99608,0.396932,0.516618,NS,HR↑ LR↓
MAT2B,-0.3294,-0.197,0.600477,0.835726,0.954981,NS,Concordant Down
COPS7A,-0.1604,-0.3659,0.780737,0.100742,0.738202,NS,Concordant Down
PRPS1,0.1811,0.3433,0.876209,0.494173,0.92868,NS,Concordant Up
ART3,-0.4402,0.0833,0.422531,0.976589,0.420344,NS,HR↓ LR↑
AIMP2,-0.4474,-0.0759,0.316398,0.976582,0.612116,NS,Concordant Down
PSMC6,0.2326,0.2906,0.638724,0.387839,0.985782,NS,Concordant Up
PRKAB2,-0.4608,-0.0623,0.347277,0.985752,0.60075,NS,Concordant Down
RMDN1,0.2612,-0.2608,0.772912,0.733777,0.409871,NS,HR↑ LR↓
CANX,0.4022,0.1195,0.157902,0.885017,0.595192,NS,Concordant Up
ENDOD1,-0.236,0.284,0.7835,0.634562,0.342651,NS,HR↓ LR↑
SETD7,0.3487,-0.1711,0.491739,0.850007,0.285438,NS,HR↑ LR↓
F13A1,-0.3476,0.1718,0.788355,0.934139,0.647462,NS,HR↓ LR↑
COQ10B,-0.4662,0.0532,0.602747,0.994356,0.636763,NS,HR↓ LR↑
MYBPC2,-0.1222,0.3971,0.977305,0.707696,0.689143,NS,HR↓ LR↑
CPT1B,-0.4921,0.0261,0.203274,0.997171,0.299442,NS,HR↓ LR↑
CPNE3,0.1234,0.3944,0.90856,0.154793,0.665677,NS,Concordant Up
CHCHD3,-0.3142,-0.2029,0.5773,0.787507,0.963061,NS,Concordant Down
B2M,0.359,-0.1563,0.773828,0.946584,0.653117,NS,HR↑ LR↓
EIF3D,0.3863,-0.1288,0.5662,0.944286,0.464531,NS,HR↑ LR↓
KLHL41,0.302,0.2129,0.650317,0.793742,0.97943,NS,Concordant Up
MFN2,-0.4152,-0.0976,0.467188,0.965184,0.753218,NS,Concordant Down
ACADS,-0.4554,-0.0574,0.442323,0.989965,0.664157,NS,Concordant Down
NDUFB9,-0.4757,0.0368,0.297899,0.994991,0.37703,NS,HR↓ LR↑
ARL8A,-0.4456,0.0668,0.37549,0.982607,0.386558,NS,HR↓ LR↑
VCP,0.4135,0.0987,0.15734,0.928017,0.53217,NS,Concordant Up
RAB2B,-0.1803,-0.3304,0.929662,0.69388,0.963409,NS,Concordant Down
GNAI2,0.1238,0.3854,0.947521,0.419444,0.818595,NS,Concordant Up
NDUFS8,-0.3514,-0.1576,0.51028,0.88137,0.887875,NS,Concordant Down
CLIC6,-0.4429,0.066,0.553018,0.989852,0.581967,NS,HR↓ LR↑
TPM1,0.1786,0.3282,0.933453,0.730042,0.966066,NS,Concordant Up
LIMS3,0.1167,-0.3891,0.955133,0.422404,0.412039,NS,HR↑ LR↓
PRKAG1,-0.132,-0.3726,0.922716,0.334372,0.804114,NS,Concordant Down
SUB1,0.4696,-0.0346,0.183671,0.994248,0.261528,NS,HR↑ LR↓
GOT2,-0.4733,-0.0295,0.106531,0.994989,0.282605,NS,Concordant Down
NEDD8,-0.3317,0.1708,0.5709,0.864589,0.358541,NS,HR↓ LR↑
AHNAK,0.3779,0.1234,0.489446,0.935794,0.820834,NS,Concordant Up
NDUFS6,-0.3519,-0.149,0.631806,0.924072,0.910309,NS,Concordant Down
RAD23B,0.1642,-0.3352,0.834923,0.294901,0.173211,NS,HR↑ LR↓
CKMT2,-0.4397,-0.0597,0.247241,0.982435,0.517677,NS,Concordant Down
HSPB7,-0.403,-0.0963,0.384682,0.957647,0.710902,NS,Concordant Down
PBDC1,-0.0409,0.4578,0.995038,0.293644,0.437009,NS,HR↓ LR↑
PLPBP,-0.2749,-0.2235,0.613614,0.694982,0.991319,NS,Concordant Down
SGCG,-0.305,0.1934,0.740184,0.882773,0.528536,NS,HR↓ LR↑
PSMD6,0.2858,0.2111,0.701287,0.797846,0.98618,NS,Concordant Up
CLPP,-0.1414,0.3554,0.957725,0.651408,0.603379,NS,HR↓ LR↑
MYBPC1,0.2548,0.2416,0.836687,0.82766,0.999715,NS,Concordant Up
LIMS1,-0.2534,-0.243,0.734872,0.712816,0.999729,NS,Concordant Down
MPI,-0.2904,-0.206,0.423128,0.632718,0.965746,NS,Concordant Down
DMD,0.2061,-0.2902,0.740174,0.432317,0.184163,NS,HR↑ LR↓
MSN,0.3755,0.1202,0.393178,0.923304,0.774107,NS,Concordant Up
RPL22,0.468,0.0277,0.348436,0.997406,0.538534,NS,Concordant Up
LAMA2,-0.3848,-0.1108,0.660621,0.96928,0.872955,NS,Concordant Down
RPS28,-0.081,0.4141,0.986801,0.589417,0.624871,NS,HR↓ LR↑
VKORC1L1,0.1596,0.3355,0.924712,0.647187,0.93623,NS,Concordant Up
EEF1B2,0.3623,-0.1326,0.478756,0.916628,0.349112,NS,HR↑ LR↓
USP5,0.4622,0.0327,0.172752,0.994584,0.376663,NS,Concordant Up
RAP1B,0.4328,-0.061,0.354899,0.98495,0.383423,NS,HR↑ LR↓
DNPH1,-0.0659,-0.4266,0.991321,0.533206,0.785927,NS,Concordant Down
HUWE1,0.0161,0.476,0.999382,0.366515,0.587655,NS,Concordant Up
PAK1,-0.3826,-0.1088,0.616958,0.962197,0.847602,NS,Concordant Down
HTRA2,-0.422,0.0687,0.580511,0.984443,0.551491,NS,HR↓ LR↑
GCSH,-0.381,0.1092,0.465872,0.94854,0.388681,NS,HR↓ LR↑
PDCL3,-0.388,-0.1003,0.573519,0.965705,0.817014,NS,Concordant Down
ACTR1A,0.2773,-0.211,0.53012,0.668701,0.184199,NS,HR↑ LR↓
TRAPPC3,0.2358,0.2524,0.841072,0.786833,0.999492,NS,Concordant Up
CNDP2,0.2538,-0.2327,0.77329,0.775739,0.445788,NS,HR↑ LR↓
RUVBL2,0.3137,0.1728,0.670806,0.884066,0.953217,NS,Concordant Up
NMT1,-0.3768,0.109,0.638979,0.970974,0.598094,NS,HR↓ LR↑
DAG1,-0.2553,-0.2299,0.78533,0.784728,0.998612,NS,Concordant Down
ALDH5A1,-0.2634,-0.2217,0.631477,0.689423,0.994176,NS,Concordant Down
NDUFB7,-0.3082,-0.1765,0.692087,0.883043,0.960725,NS,Concordant Down
DES,0.4005,0.0831,0.744959,0.988023,0.881131,NS,Concordant Up
PPP3CB,-0.4783,-0.0052,0.149471,0.999871,0.292757,NS,Concordant Down
LMCD1,-0.4017,0.0817,0.327664,0.965988,0.309887,NS,HR↓ LR↑
SYPL1,-0.3245,-0.1575,0.608071,0.892226,0.925148,NS,Concordant Down
IDH2,-0.2831,-0.1988,0.431846,0.646491,0.964811,NS,Concordant Down
RPL10,0.3601,-0.1213,0.716494,0.968684,0.656956,NS,HR↑ LR↓
ATP5F1D,-0.3251,-0.1563,0.682264,0.915963,0.938725,NS,Concordant Down
SDHD,-0.2351,0.2452,0.854085,0.812748,0.571626,NS,HR↓ LR↑
RTN4,0.1311,-0.3486,0.930976,0.438503,0.375956,NS,HR↑ LR↓
SMPX,-0.2806,0.1991,0.860636,0.919185,0.704436,NS,HR↓ LR↑
QARS1,-0.281,-0.1985,0.548753,0.726467,0.973855,NS,Concordant Down
MRPS22,-0.3321,-0.1468,0.647593,0.925925,0.922548,NS,Concordant Down
CACYBP,0.4589,-0.0198,0.280604,0.998418,0.385601,NS,HR↑ LR↓
RTCB,0.3201,-0.1578,0.446616,0.832869,0.23848,NS,HR↑ LR↓
TNPO3,0.2295,0.2483,0.892039,0.872662,0.999548,NS,Concordant Up
NDUFB6,-0.431,0.0467,0.580113,0.994684,0.619475,NS,HR↓ LR↑
SYNGR2,0.2118,0.2658,0.827331,0.679146,0.992681,NS,Concordant Up
CAVIN1,0.0951,-0.3822,0.962878,0.329028,0.353622,NS,HR↑ LR↓
C11orf68,-0.2747,0.2024,0.546589,0.701135,0.211495,NS,HR↓ LR↑
SLC25A5,0.3794,0.0969,0.614131,0.972069,0.839497,NS,Concordant Up
HNRNPH3,0.4105,0.0655,0.624534,0.987589,0.785306,NS,Concordant Up
ALDH7A1,-0.2627,-0.2132,0.757286,0.812736,0.994393,NS,Concordant Down
VAMP2,0.4064,-0.0692,0.467106,0.982372,0.468702,NS,HR↑ LR↓
GLRX5,-0.3148,0.1605,0.543969,0.850627,0.320522,NS,HR↓ LR↑
NDUFB10,-0.4539,0.0186,0.410858,0.998926,0.513693,NS,HR↓ LR↑
ANXA5,0.3168,-0.1557,0.542598,0.868378,0.33954,NS,HR↑ LR↓
EHD1,0.2559,-0.2163,0.606115,0.66442,0.225775,NS,HR↑ LR↓
TUBA1B,0.465,0.0071,0.2118,0.999781,0.368642,NS,Concordant Up
L2HGDH,-0.4033,0.0675,0.418017,0.98137,0.425422,NS,HR↓ LR↑
TAGLN,-0.2043,0.2664,0.948483,0.896144,0.794831,NS,HR↓ LR↑
TOM1,0.1611,-0.3093,0.871825,0.462766,0.312005,NS,HR↑ LR↓
FUNDC2,-0.3208,-0.1493,0.654321,0.914205,0.929086,NS,Concordant Down
MXRA7,-0.0406,0.4293,0.996869,0.741259,0.749278,NS,HR↓ LR↑
LONP1,-0.2122,-0.2573,0.770135,0.605847,0.993444,NS,Concordant Down
TMEM109,-0.1521,0.3173,0.937639,0.671152,0.56809,NS,HR↓ LR↑
HRC,0.3947,-0.0728,0.385209,0.975664,0.380759,NS,HR↑ LR↓
RPS10,0.3472,-0.1196,0.80939,0.973674,0.743243,NS,HR↑ LR↓
HSDL1,-0.2043,-0.2622,0.851453,0.727488,0.99234,NS,Concordant Down
EIF4A1,0.2587,0.2074,0.576241,0.672822,0.989372,NS,Concordant Up
SSBP1,-0.0513,-0.4146,0.988853,0.214661,0.544073,NS,Concordant Down
UCHL1,0.402,-0.0635,0.679332,0.991387,0.685087,NS,HR↑ LR↓
PCYOX1,-0.3517,-0.1137,0.279592,0.899964,0.716211,NS,Concordant Down
GGCT,-0.441,-0.0226,0.278812,0.997816,0.469806,NS,Concordant Down
ACADM,-0.3914,-0.0722,0.294449,0.970475,0.604957,NS,Concordant Down
HIBCH,-0.2936,-0.1692,0.71388,0.890564,0.964441,NS,Concordant Down
UBE3C,0.2121,0.2506,0.822846,0.717065,0.996294,NS,Concordant Up
DPYSL3,0.1038,-0.3586,0.970617,0.569739,0.561306,NS,HR↑ LR↓
WARS1,0.2903,0.1717,0.540205,0.805614,0.94606,NS,Concordant Up
COX7A1,-0.3152,0.1466,0.684948,0.922494,0.529866,NS,HR↓ LR↑
LDHB,0.3563,-0.1051,0.562398,0.957087,0.484888,NS,HR↑ LR↓
COX5B,-0.4142,-0.0468,0.489926,0.992914,0.689941,NS,Concordant Down
ELOC,0.0733,-0.3873,0.979153,0.331376,0.398901,NS,HR↑ LR↓
NAXE,-0.3929,-0.0674,0.194159,0.968148,0.502777,NS,Concordant Down
ACY1,-0.4417,0.0186,0.225408,0.998358,0.333348,NS,HR↓ LR↑
RNF7,-0.1629,-0.2973,0.890462,0.56946,0.946995,NS,Concordant Down
PANK4,-0.4182,-0.0419,0.290422,0.991605,0.525334,NS,Concordant Down
TMED2,0.3905,0.069,0.705067,0.990076,0.85136,NS,Concordant Up
ETF1,0.4308,0.0285,0.259825,0.996318,0.472084,NS,Concordant Up
SMYD1,0.1385,-0.3205,0.914667,0.469373,0.372221,NS,HR↑ LR↓
HMGB1,0.358,0.101,0.517499,0.956337,0.809923,NS,Concordant Up
TUBA4A,0.4583,5e-4,0.356318,0.999999,0.4979,NS,Concordant Up
GPD1L,-0.4581,-4e-4,0.200064,0.999999,0.343113,NS,Concordant Down
MDH1,-0.1626,-0.2958,0.829403,0.383828,0.919669,NS,Concordant Down
BCAM,-0.3806,0.0778,0.6272,0.980839,0.590376,NS,HR↓ LR↑
