"uniprot_id","eta2","gene","label"
"Q07699",0.190515486845491,"SCN1B","SCN1B"
"Q9NQP4",0.189982469991023,"PFDN4","PFDN4"
"Q9H8M1",0.18968663963576,"COQ10B","COQ10B"
"Q06323",0.189405066132326,"PSME1","PSME1"
"Q15847",0.189371020901984,"ADIRF","ADIRF"
"Q9H223",0.189265509274929,"EHD4","EHD4"
"P29144",0.189070780926377,"TPP2","TPP2"
"O75569",0.188658830813653,"PRKRA","PRKRA"
"O43399",0.188607966411459,"TPD52L2","TPD52L2"
"P02794",0.188554673331638,"FTH1","FTH1"
"Q9UM00",0.188066222975219,"TMCO1","TMCO1"
"P54652",0.18806113740754,"HSPA2","HSPA2"
"Q9NVH6",0.188038541191747,"TMLHE","TMLHE"
"P56134",0.187948660311184,"ATP5MF","ATP5MF"
"Q7L0Y3",0.187828533801631,"TRMT10C","TRMT10C"
"P84085",0.18781851221388,"ARF5","ARF5"
"Q8WWV3",0.187796509612069,"RTN4IP1","RTN4IP1"
"P00918",0.187777594066237,"CA2","CA2"
"Q9Y5L4",0.187712279752759,"TIMM13","TIMM13"
"Q96AQ6",0.187694758368284,"PBXIP1","PBXIP1"
"Q9H0N5",0.18765217682789,"PCBD2","PCBD2"
"Q99623",0.187434284248199,"PHB2","PHB2"
"P21964",0.186894167578793,"COMT","COMT"
"P23381",0.18689079500635,"WARS1","WARS1"
"O75128",0.186793237904646,"COBL","COBL"
"Q02750",0.186589221085741,"MAP2K1","MAP2K1"
"O14737",0.186457731282388,"PDCD5","PDCD5"
"P30050",0.186418705447014,"RPL12","RPL12"
