"phase","gene","hr","lr","gap"
"Training (T2 - T1)","ALPK3",-0.659443805973478,0.789593511869366,1.44903731784284
"Training (T2 - T1)","UBE2O",-0.271411184522226,1.18113563074294,1.45254681526517
"Training (T2 - T1)","RBKS",-0.929081450121956,0.740925911039916,1.67000736116187
"Training (T2 - T1)","SYNC",-0.834994744745469,0.332051236621993,1.16704598136746
"Training (T2 - T1)","JPT2",-0.56466058301489,0.358636910094889,0.923297493109779
"Training (T2 - T1)","SYNPO2L",-1.61216087631951,0.213752701038501,1.82591357735801
"Training (T2 - T1)","PALMD",0.673791713422583,-0.572271669738798,1.24606338316138
"Training (T2 - T1)","MRPL22",-0.521268365065517,0.596292717597107,1.11756108266262
"Training (T2 - T1)","CHORDC1",-0.930969349567334,0.689364084287519,1.62033343385485
"Training (T2 - T1)","ATP6V1H",-0.599344124596264,0.456490126873899,1.05583425147016
"Training (T2 - T1)","EIF3L",0.389740707749347,-0.489339416017611,0.879080123766958
"Training (T2 - T1)","DRG1",-1.53603840935177,0.169719176850009,1.70575758620178
"Training (T2 - T1)","POLDIP2",-0.290741134126023,0.912277560038719,1.20301869416474
"Training (T2 - T1)","TMED5",1.50824119882354,-0.0525199028948471,1.56076110171839
"Training (T2 - T1)","TPRKB",1.18928422231348,-0.620769366728966,1.81005358904245
"Training (T2 - T1)","MYH4",-2.11584889206611,-0.280785643683505,1.8350632483826
"Acute (T3 - T2)","FITM1",0.191176536854385,-0.956515295381129,1.14769183223551
"Acute (T3 - T2)","MAP1LC3B2",0.916672453718395,-0.00477365245122385,0.921446106169619
"Acute (T3 - T2)","FXYD1",1.13576828853218,-0.504452575978082,1.64022086451026
"Acute (T3 - T2)","CCS",-0.0619213166387027,1.17881469314698,1.24073600978568
"Acute (T3 - T2)","ARPC1B",-0.658317311722737,0.487507693910324,1.14582500563306
"Acute (T3 - T2)","SH3BGRL",-0.962638129933712,1.09679102960487,2.05942915953858
"Acute (T3 - T2)","PRKRA",0.50196128458103,-0.745772954958509,1.24773423953954
"Acute (T3 - T2)","FLOT1",0.00616297866817916,1.03781828840825,1.03165530974007
"Acute (T3 - T2)","RTN3",0.743541056882613,-0.519184264493088,1.2627253213757
"Acute (T3 - T2)","PNP",0.546043785625766,2.14380650795035,1.59776272232458
"Acute (T3 - T2)","TFRC",-0.0685638217862543,1.03012997405077,1.09869379583702
