gene,logFC,neg_log10_p,pi_score,adj_pval,direction
PGLS,-0.2786,0.701,0.637804,0.998942,NS
TPSB2,0.3081,0.6319,0.638759,0.998942,NS
PSMC5,0.19,1.0236,0.639042,0.998942,NS
DLAT,0.216,0.8971,0.640035,0.998942,NS
GHITM,0.3197,0.6053,0.640446,0.998942,NS
PA2G4,-0.2402,0.8057,0.640456,0.998942,NS
TBCB,0.2813,0.6866,0.641034,0.998942,NS
UNC45B,0.262,0.737,0.64105,0.998942,NS
SLC25A11,-0.2694,0.7151,0.641724,0.998942,NS
ACACA,0.3802,0.5063,0.642007,0.998942,NS
DBI,-0.3443,0.5578,0.642654,0.998942,NS
STOML2,0.2541,0.7439,0.647073,0.998942,NS
JPT2,0.3145,0.6009,0.647164,0.998942,NS
VARS1,0.2904,0.6502,0.647352,0.998942,NS
MME,-0.4503,0.419,0.647667,0.998942,NS
SCP2,0.3278,0.5706,0.65005,0.998942,NS
MRPL40,-0.4777,0.3914,0.650164,0.998942,NS
SDHA,0.188,0.9908,0.651283,0.998942,NS
AFG3L2,0.222,0.8355,0.652434,0.998942,NS
PSMD12,-0.2049,0.9036,0.652924,0.998942,NS
NDUFA11,-0.3383,0.5454,0.653914,0.998942,NS
EIF3I,0.2499,0.7346,0.655252,0.998942,NS
HSD17B12,0.274,0.67,0.655292,0.998942,NS
FAM114A2,-0.2885,0.6339,0.656324,0.998942,NS
NIT1,-0.2592,0.7049,0.656635,0.998942,NS
GPD2,-0.229,0.7961,0.657198,0.998942,NS
HBG2,-0.5753,0.3167,0.657339,0.998942,NS
PCCA,0.3033,0.5969,0.659149,0.998942,NS
IGHM,-0.4271,0.4235,0.659349,0.998942,NS
COQ10B,-0.4109,0.4382,0.660654,0.998942,NS
COA3,-0.3231,0.5526,0.662923,0.998942,NS
AQP1,-0.3279,0.5439,0.663245,0.998942,NS
BROX,-0.2685,0.6611,0.664522,0.998942,NS
RPIA,0.3023,0.5834,0.666253,0.998942,NS
CSRP3,0.2839,0.62,0.666718,0.998942,NS
PNPO,-0.2493,0.7055,0.667007,0.998942,NS
PABPC4,-0.2425,0.725,0.667099,0.998942,NS
PPIF,0.2182,0.8025,0.668213,0.998942,NS
IMPDH2,-0.2273,0.7696,0.668452,0.998942,NS
MT-ND3,-0.3824,0.4571,0.668689,0.998942,NS
ACO2,0.1982,0.8782,0.669781,0.998942,NS
RPS27A,-0.3318,0.5245,0.669864,0.998942,NS
PSMB5,-0.1919,0.9015,0.67136,0.998942,NS
