pathway,pathway_label,database,NES_Training_HR,NES_Training_LR,padj_Training_HR,padj_Training_LR,significance,set_size
GOBP_SPERMATID_DIFFERENTIATION,Spermatid Differentiation,GO:BP,1.036,-0.835,0.7754,0.9601,NS,18
GOBP_ASPARTATE_FAMILY_AMINO_ACID_METABOLIC_PROCESS,Aspartate Family Amino Acid Metabolic Process,GO:BP,0.861,-1.009,0.8863,0.8851,NS,12
GOBP_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS,Cellular Component Assembly Involved In Mo...,GO:BP,-1.177,0.692,0.6256,0.9993,NS,44
GOBP_ORGANIC_ACID_TRANSPORT,Organic Acid Transport,GO:BP,1.113,0.755,0.6932,0.9961,NS,37
GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME,Alternative Mrna Splicing Via Spliceosome,GO:BP,-0.952,0.914,0.8172,0.926,NS,10
GOBP_REGULATION_OF_CELL_SHAPE,Regulation Of Cell Shape,GO:BP,-0.899,0.967,0.8699,0.9206,NS,19
GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME,Regulation Of Mrna Splicing Via Spliceosome,GO:BP,-0.691,-1.175,0.9543,0.786,NS,16
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS,Nuclear Transcribed Mrna Catabolic Process,GO:BP,0.839,1.027,0.8974,0.8766,NS,14
GOBP_GLIAL_CELL_DEVELOPMENT,Glial Cell Development,GO:BP,-1.107,0.758,0.7154,0.9864,NS,23
GOBP_IMMUNE_SYSTEM_DEVELOPMENT,Immune System Development,GO:BP,-0.961,-0.904,0.814,0.926,NS,14
GOBP_VACUOLAR_TRANSPORT,Vacuolar Transport,GO:BP,-0.956,-0.908,0.8212,0.9313,NS,25
GOBP_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION,Cardiac Muscle Cell Membrane Repolarization,GO:BP,-1.111,-0.752,0.7185,0.9826,NS,10
GOBP_REGULATION_OF_MRNA_PROCESSING,Regulation Of Mrna Processing,GO:BP,-0.677,-1.186,0.9618,0.7768,NS,17
GOBP_REGULATION_OF_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,Regulation Of Proteasomal Ubiquitin Depend...,GO:BP,0.662,-1.2,0.9767,0.7361,NS,30
HALLMARK_UV_RESPONSE_UP,UV Response Up,Hallmark,0.935,-0.927,0.8371,0.926,NS,36
