pathway,padj,NES,size,database,pval,ES,log2err,contrast
GOBP_BRANCHED_CHAIN_AMINO_ACID_METABOLIC_PROCESS,0.02565473762007125,-1.903597717293627,21,GO:BP,0.002068345182947753,-0.5845783073953514,0.4317076958033464,Acute_HR
GOBP_POSITIVE_REGULATION_OF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY,0.02566840566644378,1.9318086025297587,17,GO:BP,0.0020876001779639567,0.6349745123372007,0.4317076958033464,Acute_HR
GOBP_PROTEIN_RNA_COMPLEX_ORGANIZATION,0.02668024371899694,1.7634289545335258,53,GO:BP,0.00218876115375081,0.4406240482534317,0.4317076958033464,Acute_HR
GOBP_PYRUVATE_DECARBOXYLATION_TO_ACETYL_COA,0.026858299108915563,-1.8873184262604616,10,GO:BP,0.0022223627975552483,-0.7167300315847035,0.4317076958033464,Acute_HR
GOBP_REGULATION_OF_CELL_PROJECTION_ASSEMBLY,0.03170667287156788,1.8097897363095368,30,GO:BP,0.0026908067500623378,0.5146398105842851,0.4317076958033464,Acute_HR
GOBP_ACETYL_COA_METABOLIC_PROCESS,0.03180008111797724,-1.922079533348429,17,GO:BP,0.0027559966143987104,-0.6231657475845472,0.4317076958033464,Acute_HR
GOBP_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION,0.03180008111797724,1.875475690155901,24,GO:BP,0.0027591917135205537,0.5643922591529922,0.4317076958033464,Acute_HR
GOBP_PROTEIN_POLYMERIZATION,0.03180008111797724,1.7338658864691818,56,GO:BP,0.002766202247179067,0.4268799165043906,0.4317076958033464,Acute_HR
GOBP_NEGATIVE_REGULATION_OF_TRANSLATION,0.03397258681762292,1.7800845053994274,31,GO:BP,0.0030512860861655663,0.5023854024004479,0.4317076958033464,Acute_HR
GOBP_DNA_BIOSYNTHETIC_PROCESS,0.03592533365216482,1.8532764066357534,19,GO:BP,0.003302894890227317,0.5923606619772909,0.35481951210374685,Acute_HR
GOBP_DEFENSE_RESPONSE_TO_GRAM_POSITIVE_BACTERIUM,0.03636468157077029,1.8572062983667028,11,GO:BP,0.003369005152596116,0.700472991767594,0.35481951210374685,Acute_HR
GOBP_TELOMERE_ORGANIZATION,0.03694542667525998,1.7686451332903617,31,GO:BP,0.0034489365778884846,0.49915691884093744,0.34452128726268,Acute_HR
GOBP_REGULATION_OF_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY,0.03879499561018437,1.7651844613848924,34,GO:BP,0.0036496350364963502,0.4873573222670333,0.3350685587170139,Acute_HR
GOBP_REGULATION_OF_VIRAL_PROCESS,0.03879499561018437,1.8248593801130482,23,GO:BP,0.003676470588235294,0.5545922321019626,0.3350685587170139,Acute_HR
GOBP_PROTEIN_DNA_COMPLEX_ORGANIZATION,0.038937078342282806,1.9005627448676894,14,GO:BP,0.0037174721189591076,0.6651182911632053,0.3350685587170139,Acute_HR
GOBP_KETONE_BIOSYNTHETIC_PROCESS,0.03962419987610985,-1.8095049991309646,16,GO:BP,0.0039231881065455295,-0.5971591822672734,0.3350685587170139,Acute_HR
GOBP_MODULATION_BY_HOST_OF_VIRAL_PROCESS,0.03962419987610985,1.8687337377618405,13,GO:BP,0.003872216844143272,0.6653346209201436,0.32635161099090676,Acute_HR
GOBP_REGULATION_OF_RNA_SPLICING,0.03962419987610985,1.8154905484767827,27,GO:BP,0.003909689621865322,0.5312065101124208,0.40701791892395395,Acute_HR
GOBP_RESPONSE_TO_LEUKEMIA_INHIBITORY_FACTOR,0.04110789472591276,1.8638328520202414,15,GO:BP,0.004099160648057779,0.6388821277335658,0.31827967504043686,Acute_HR
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE,0.043483841638699845,-1.7420006495747111,42,GO:BP,0.004397905759162304,-0.44938227505856393,0.31827967504043686,Acute_HR
GOBP_NEGATIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS,0.04685048136053268,1.8086268618149808,22,GO:BP,0.004837461300309598,0.5553540085195814,0.291090917251384,Acute_HR
GOBP_ATP_METABOLIC_PROCESS,0.04757808499743984,-1.5480322740586303,121,GO:BP,0.004946236559139785,-0.3251041925758596,0.30377943455118267,Acute_HR
GOBP_DISRUPTION_OF_ANATOMICAL_STRUCTURE_IN_ANOTHER_ORGANISM,0.04809397974935245,1.8449393667227054,13,GO:BP,0.0050338818973862534,0.6568629919687035,0.2853133921438723,Acute_HR
GOBP_NADH_METABOLIC_PROCESS,0.04921143375806907,-1.751715925646386,26,GO:BP,0.005185646131507986,-0.5071385331853923,0.291090917251384,Acute_HR
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS,0.05914978641311836,-1.8158540787184885,11,GO:BP,0.006860371267150928,-0.6687831339836501,0.24883263202204342,Acute_HR
GOBP_ACIDIC_AMINO_ACID_TRANSPORT,0.598129561957755,-1.1208164297048724,10,GO:BP,0.3185230269831609,-0.4256424267815442,0.03343663449417911,Acute_HR
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT,0.30762199151060554,1.3381399084358045,42,GO:BP,0.08723933422613354,0.35228313101085007,0.06604004586433615,Acute_HR
GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION,0.33461240066259884,1.3343913730503403,35,GO:BP,0.10258387967605091,0.3662788545377444,0.06089253270699512,Acute_HR
GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION,0.9803655723537028,0.6605563450282393,19,GO:BP,0.9168447639401593,0.2111328846648033,0.015263737873907134,Acute_HR
GOBP_ACTIN_FILAMENT_ORGANIZATION,0.06464501696875877,1.5872271013356327,87,GO:BP,0.008090310442144873,0.3586394021891684,0.22082346409111278,Acute_HR
