group_id,sample_id,ME
greenyellow,S10_T3,-0.1270792537814257
magenta,S10_T3,0.060882420571107265
pink,S10_T3,0.4329737514752783
purple,S10_T3,0.1460691276865493
red,S10_T3,0.14221386561764648
turquoise,S10_T3,-0.07724891315737943
yellow,S10_T3,-0.44378420483756004
black,S16_T3,0.0842326089772332
blue,S16_T3,-0.08259149720570226
brown,S16_T3,0.09539227690376527
green,S16_T3,-0.08545425810828682
greenyellow,S16_T3,0.05345045210818698
magenta,S16_T3,0.03159527154021914
pink,S16_T3,0.08711075020400759
purple,S16_T3,0.08507746904279734
red,S16_T3,0.010658397864324543
turquoise,S16_T3,-0.09297089207681056
yellow,S16_T3,-0.02203473884459687
black,S22_T3,-0.13002020261068611
blue,S22_T3,0.2834692146019266
brown,S22_T3,-0.1443399234278985
green,S22_T3,0.04938621666036149
greenyellow,S22_T3,-0.17514670872516258
magenta,S22_T3,-0.07157470552949871
pink,S22_T3,2.4317390386985635e-5
purple,S22_T3,0.06714223631653357
red,S22_T3,0.11936202318897789
turquoise,S22_T3,0.087636929232823
yellow,S22_T3,-0.13442272599123517
black,S24_T3,-0.5106428467694809
blue,S24_T3,0.1715612475940218
brown,S24_T3,-0.4850710917240837
green,S24_T3,0.36808288170619713
greenyellow,S24_T3,-0.39503164938878266
magenta,S24_T3,-0.07641275649876578
pink,S24_T3,0.2556501800771001
purple,S24_T3,-0.3561843662610821
red,S24_T3,-0.33803888669877236
turquoise,S24_T3,0.4100745733731693
yellow,S24_T3,-0.38004327333697324
black,S27_T3,0.11898533286933839
blue,S27_T3,-0.07213414436597489
brown,S27_T3,0.03835488392263334
green,S27_T3,-0.04684800799256029
greenyellow,S27_T3,0.17158780831944923
magenta,S27_T3,0.06471297038464162
pink,S27_T3,0.15807426303374594
purple,S27_T3,0.142710002123439
red,S27_T3,0.010974997670972729
turquoise,S27_T3,-0.1081253463135303
yellow,S27_T3,-0.04928417338118902
black,S29_T3,0.0913447666474628
blue,S29_T3,-0.09741001008549263
brown,S29_T3,0.09099019749884125
green,S29_T3,0.0022096835001173282
greenyellow,S29_T3,0.04598790983858735
magenta,S29_T3,-0.07605232072664381
pink,S29_T3,-0.07759808513102111
purple,S29_T3,0.029657844516023713
red,S29_T3,0.030603516794773564
turquoise,S29_T3,-0.0316537333038152
yellow,S29_T3,0.1618812322758055
black,S04_T3,0.0631311690542527
blue,S04_T3,-0.048434090249310446
brown,S04_T3,-0.06421842953743327
green,S04_T3,-0.15376399697796475
greenyellow,S04_T3,0.08433812589427472
magenta,S04_T3,0.11038796407924
pink,S04_T3,0.008898344098393676
purple,S04_T3,0.09503052806889443
red,S04_T3,-4.711014654075422e-4
turquoise,S04_T3,0.09529239005848912
yellow,S04_T3,-0.10986229063520139
black,S05_T3,0.1275207060703144
blue,S05_T3,-0.02628931217450403
brown,S05_T3,0.08045792173424407
green,S05_T3,-0.10059513835669555
greenyellow,S05_T3,0.07572724208307173
magenta,S05_T3,0.07320477319319166
pink,S05_T3,0.1260978413624106
purple,S05_T3,0.15057256093295487
red,S05_T3,0.04070499897893227
turquoise,S05_T3,-0.131942544457152
yellow,S05_T3,-0.027790538778385228
black,S06_T3,0.07672086048000078
blue,S06_T3,-0.05158246881453706
brown,S06_T3,0.03329502796406211
green,S06_T3,-0.1699957796706113
greenyellow,S06_T3,0.04596015438329449
magenta,S06_T3,0.12462102334830095
pink,S06_T3,-0.18532718159929792
purple,S06_T3,-0.025722128778822725
red,S06_T3,0.013902339863457878
turquoise,S06_T3,0.07962780832819988
yellow,S06_T3,0.052267501138096056
black,S12_T3,0.19631600236077976
blue,S12_T3,0.043272704282700705
brown,S12_T3,0.0914746986061228
green,S12_T3,-0.17075430250088072
greenyellow,S12_T3,0.2041958651380253
magenta,S12_T3,0.18127260519646138
pink,S12_T3,0.130136508215213
purple,S12_T3,0.1423895619256025
red,S12_T3,0.02886441918253675
turquoise,S12_T3,-0.1644844195486761
yellow,S12_T3,-0.029665623507626332
black,S14_T3,-0.08008921064622442
blue,S14_T3,0.3810901119893982
brown,S14_T3,-0.09655230778370551
green,S14_T3,0.06173657241069159
greenyellow,S14_T3,-0.1317605096192388
magenta,S14_T3,0.03708508714914399
pink,S14_T3,0.21926163068767374
purple,S14_T3,0.087475413069494
red,S14_T3,0.1574607598284553
turquoise,S14_T3,-0.12066469436481557
yellow,S14_T3,-0.18870687370328246
black,S17_T3,0.02349423707910983
blue,S17_T3,0.18877228322027426
brown,S17_T3,0.1305341273084988
green,S17_T3,0.005996252417338566
greenyellow,S17_T3,-0.032341111099622566
magenta,S17_T3,-0.12220596827870255
pink,S17_T3,0.004484196467101047
purple,S17_T3,0.05615544613627029
red,S17_T3,0.09922655099483835
turquoise,S17_T3,-0.1613509455055405
yellow,S17_T3,0.061039392707080004
black,S21_T3,0.026625581907862787
blue,S21_T3,0.0826258230287578
brown,S21_T3,0.02705232867715182
green,S21_T3,-0.10418073733863634
greenyellow,S21_T3,-0.06093897266573486
